experiment,participant_id,trial_id,trial_order,phase_id,stimulus,probe_type,condition,response,accuracy,rt,age,gender,rt_measure
data_DRM,2,recognition_t23,23,recognition,malcontento,studied,studied,0,0,2873,30,M,keypress
data_DRM,2,recognition_t27,27,recognition,italiana,studied,studied,1,1,1089,30,M,keypress
data_DRM,2,recognition_t29,29,recognition,rapinatore,studied,studied,1,1,2076,30,M,keypress
data_DRM,2,recognition_t31,31,recognition,assassino,studied,studied,1,1,2957,30,M,keypress
data_DRM,2,recognition_t32,32,recognition,filo,studied,studied,1,1,1470,30,M,keypress
data_DRM,2,recognition_t34,34,recognition,cucire,studied,studied,1,1,1575,30,M,keypress
data_DRM,2,recognition_t35,35,recognition,cammello,studied,studied,1,1,1408,30,M,keypress
data_DRM,2,recognition_t36,36,recognition,caldo,studied,studied,1,1,2089,30,M,keypress
data_DRM,2,recognition_t39,39,recognition,pasta,studied,studied,1,1,1270,30,M,keypress
data_DRM,2,recognition_t40,40,recognition,foce,studied,studied,1,1,1763,30,M,keypress
data_DRM,2,recognition_t42,42,recognition,torrente,studied,studied,0,0,1909,30,M,keypress
data_DRM,2,recognition_t44,44,recognition,tela,studied,studied,1,1,1603,30,M,keypress
data_DRM,2,recognition_t45,45,recognition,insetto,studied,studied,1,1,1429,30,M,keypress
data_DRM,2,recognition_t46,46,recognition,paura,studied,studied,1,1,1345,30,M,keypress
data_DRM,2,recognition_t49,49,recognition,accendere,weakly,new,1,0,1429,30,M,keypress
data_DRM,2,recognition_t50,50,recognition,astuccio,weakly,new,0,1,1667,30,M,keypress
data_DRM,2,recognition_t51,51,recognition,grafia,weakly,new,0,1,1797,30,M,keypress
data_DRM,2,recognition_t52,52,recognition,studio,weakly,new,0,1,3395,30,M,keypress
data_DRM,2,recognition_t54,54,recognition,suono,weakly,new,1,0,2819,30,M,keypress
data_DRM,2,recognition_t57,57,recognition,sciare,weakly,new,0,1,1458,30,M,keypress
data_DRM,2,recognition_t59,59,recognition,malumore,weakly,new,1,0,1583,30,M,keypress
data_DRM,2,recognition_t60,60,recognition,mondiali,weakly,new,0,1,1764,30,M,keypress
data_DRM,2,recognition_t62,62,recognition,pistola,weakly,new,0,1,1624,30,M,keypress
data_DRM,2,recognition_t65,65,recognition,pungere,weakly,new,1,0,1346,30,M,keypress
data_DRM,2,recognition_t67,67,recognition,coltello,weakly,new,0,1,1790,30,M,keypress
data_DRM,2,recognition_t68,68,recognition,valle,weakly,new,0,1,1408,30,M,keypress
data_DRM,2,recognition_t70,70,recognition,fobia,weakly,new,1,0,2347,30,M,keypress
data_DRM,2,recognition_t71,71,recognition,nero,weakly,new,0,1,2228,30,M,keypress
data_DRM,2,recognition_t72,72,recognition,sedia,critical,new,0,1,1534,30,M,keypress
data_DRM,2,recognition_t73,73,recognition,rabbia,critical,new,0,1,2532,30,M,keypress
data_DRM,2,recognition_t74,74,recognition,pane,critical,new,0,1,1367,30,M,keypress
data_DRM,2,recognition_t75,75,recognition,freddo,critical,new,0,1,1629,30,M,keypress
data_DRM,2,recognition_t78,78,recognition,ago,critical,new,0,1,1387,30,M,keypress
data_DRM,2,recognition_t82,82,recognition,ragno,critical,new,0,1,1492,30,M,keypress
data_DRM,2,recognition_t85,85,recognition,desiderio,unrelated,new,0,1,3055,30,M,keypress
data_DRM,2,recognition_t86,86,recognition,denti,unrelated,new,1,0,2319,30,M,keypress
data_DRM,2,recognition_t87,87,recognition,treno,unrelated,new,0,1,1810,30,M,keypress
data_DRM,2,recognition_t88,88,recognition,gigante,unrelated,new,0,1,2136,30,M,keypress
data_DRM,2,recognition_t89,89,recognition,medicina,unrelated,new,0,1,3110,30,M,keypress
data_DRM,2,recognition_t90,90,recognition,bellezza,unrelated,new,0,1,1595,30,M,keypress
data_DRM,2,recognition_t93,93,recognition,nuvola,unrelated,new,1,0,1541,30,M,keypress
data_DRM,3,recognition_t0,0,recognition,pipa,studied,studied,0,0,4200,28,F,keypress
data_DRM,3,recognition_t1,1,recognition,tabacco,studied,studied,0,0,1162,28,F,keypress
data_DRM,3,recognition_t2,2,recognition,nicotina,studied,studied,1,1,1380,28,F,keypress
