Recommended Column Name,Description
age,Age of the participant at the time of the experiment.
condition,Experimental condition assigned to the trial.
gender,"Self-reported or observed gender identity of the participant, standardized as Female, Male, or Nonbinary when present in the raw data."
participant_id,Unique identifier assigned to each participant.
response,Participant's response
stimulus,The linguistic or visual stimulus presented to the participant in a given trial.
target_word,The target word that participants rated for expectedness (from https://doi.org/10.3758/s13428-024-02379-9)
trial_id,Unique identifier for a single trial within a session or condition.
trial_order,Presentation order within the session (0-indexed). The order in which the participant saw this trial.
