uniqSubId,vocabulary_score,spelling_score
Colby_02/21/2013_17:01:06_27,0.725,0.780488
Colby_02/22/2013_12:34:01_25,0.775,0.768293
Colby_02/22/2013_14:23:27_28,0.8,0.780488
Colby_03/20/2013_15:33:05_24,0.775,0.658537
Colby_03/22/2013_15:14:55_23,0.8,0.829268
Colby_11/30/2012_16:28:24_1,0.875,0.682927
MARCS_01/14/2013_14:00:14_tjp2,0.8,0.768293
MARCS_01/15/2013_16:54:38_ar,0.825,0.95122
MARCS_01/21/2013_15:11:43_pa,0.875,0.743902
MARCS_01/29/2013_11:45:15_~,0.725,0.829268
MARCS_01/29/2013_17:13:31_~,0.75,0.902439
MARCS_01/30/2013_10:58:34_~,0.875,0.890244
MARCS_01/30/2013_14:05:56_~,0.875,0.707317
MARCS_01/30/2013_15:18:05_~,0.775,0.719512
MARCS_01/31/2013_11:18:40_~,0.825,0.792683
MARCS_02/05/2013_11:48:50_~,0.775,0.707317
MARCS_02/14/2013_13:58:28_~,0.7,0.621951
MARCS_02/14/2013_14:55:07_~,0.825,0.829268
MARCS_02/27/2013_15:23:29_~,0.75,0.792683
MARCS_03/08/2013_10:49:39_~,0.75,0.853659
MARCS_03/08/2013_12:23:23_~,0.7,0.634146
MARCS_03/08/2013_14:35:05_~,0.725,0.890244
MARCS_03/08/2013_15:57:07_~,0.625,0.804878
MARCS_03/13/2013_10:55:50_~,0.7,0.792683
MARCS_03/13/2013_12:29:51_~,0.75,0.890244
MARCS_03/13/2013_13:46:06_~,0.675,0.646341
MARCS_03/13/2013_14:51:40_~,0.425,0.585366
MARCS_03/13/2013_16:26:31_~,0.725,0.792683
MARCS_03/14/2013_11:37:38_~,0.85,0.865854
MARCS_03/14/2013_13:16:21_~,0.8,0.780488
MARCS_03/14/2013_14:11:41_~,0.975,0.890244
MARCS_03/15/2013_11:55:38_~,0.775,0.853659
MARCS_03/19/2013_13:21:32_~,0.525,0.560976
MARCS_03/20/2013_13:44:09_~,0.55,0.47561
