targetNum,lexStatus,target,prime_cond1,prime_cond2,prime_cond3,prime_cond4,prime_cond5,prime_cond6,prime_cond7,prime_cond8,prime_cond9,prime_cond10,prime_cond11,prime_cond12,prime_cond13,prime_cond14,prime_cond15,prime_cond16,prime_cond17,prime_cond18,prime_cond19,prime_cond20,prime_cond21,prime_cond22,prime_cond23,prime_cond24,prime_cond25,prime_cond26,prime_cond27,prime_cond28
75,1,COARSE,coarse,ocarse,caorse,coares,craose,csaroe,coase,coars,cose,ocraes,rsecoa,rse,aocesr,rcsoea,cesrao,voarse,coarne,coarsh,coadre,copwse,coahrse,coahkrse,cnhvue,mcoarse,coarsez,coabbrse,yhwibp,pluint
76,1,COLUMN,column,oclumn,colmun,colunm,comuln,cmluon,clumn,colum,comn,oculnm,umncol,umn,locnmu,ucmonl,cnmulo,iolumn,coludn,columq,clfumn,cojtmn,colrumn,coltdumn,cgtrin,pcolumn,columnx,colyyumn,aezdrs,bisper
77,1,COMEDY,comedy,ocmedy,comdey,comeyd,cemody,cdmeoy,comdy,comed,cody,ocemyd,edycom,edy,mocyde,ecdoym,cydemo,komedy,cbmedy,comeda,comwey,coardy,comtedy,comlbedy,cftizy,scomedy,comedyz,comkkedy,wzsxig,vagith
78,1,COMPLY,comply,ocmply,comlpy,compyl,cpmoly,clmpoy,cmply,compl,coly,ocpmyl,plycom,com,mocylp,pcloym,cylpmo,gomply,compny,complx,cofmly,coujly,comuply,comvnply,cdiuqy,fcomply,complyw,comeeply,vtjdga,badern
79,1,CONVEY,convey,ocnvey,covney,convye,cvnoey,cenvoy,cnvey,conve,coey,ocvnye,veycon,vey,nocyev,vceoyn,cyevno,wonvey,convdy,convel,cnrvey,coqwey,conxvey,conkuvey,cdlgsy,mconvey,conveyf,conssvey,btwzxm,giralm
80,1,CORTEX,cortex,ocrtex,crotex,cortxe,coetrx,certox,crtex,corte,coex,octrxe,texcor,tex,rocxet,tceoxr,cxetro,jortex,coriex,corteh,cotyex,coijex,cormtex,coraqtex,ciklgx,dcortex,cortexd,coruutex,bjvzip,bigasm
81,1,COUPLE,couple,ocuple,cuople,coupel,cpuole,clupoe,coule,coupl,cole,ocpuel,plecou,ple,uocelp,pcloeu,celpuo,aouple,ckuple,couplt,copkle,conzle,couvple,coujrple,cdbaye,dcouple,coupleh,couwwple,wiqkrx,habrid
82,1,COURSE,course,ocurse,coruse,coures,cruose,csuroe,couse,cours,cose,ocrues,rsecou,rse,uocesr,rcsoeu,cesruo,tourse,courpe,coursl,couxre,cokqse,coujrse,couthrse,cnfjie,hcourse,coursew,couaarse,aztgfj,typand
83,1,CRADLE,cradle,rcadle,cralde,cradel,crldae,cladre,crade,cradl,crle,rcdael,dlecra,dle,arceld,dclrea,celdar,mradle,crafle,cradlj,crakde,crqile,crahdle,crasydle,cmgope,zcradle,cradlex,craiidle,btuypz,mishow
84,1,CREDIT,credit,rcedit,creidt,credti,cderit,ciedrt,crdit,credi,crit,rcdeti,ditcre,dit,erctid,dcirte,ctider,uredit,crejit,crediz,craeit,crxhit,creqdit,creysdit,cmablt,ycredit,creditw,creyydit,vbqkwu,shumpy
85,1,CRINGE,cringe,rcinge,cirnge,crineg,cnirge,cginre,crine,cring,crge,rcnieg,ngecri,cri,ircegn,ncgrei,cegnir,hringe,crpnge,cringv,critne,crbsge,crixnge,criqbnge,cajule,ycringe,cringet,cribbnge,vdbazt,flosta
86,1,CRUISE,cruise,rcuise,criuse,cruies,crsiue,csuire,crise,cruis,crse,rciues,isecru,cru,urcesi,icsreu,cesiur,nruise,crulse,cruiso,crihse,crzxse,crutise,crubzise,cymvhe,zcruise,cruisey,crujjise,bmpxjw,nymbox
87,1,CUSTOM,custom,ucstom,csutom,custmo,cuotsm,costum,cutom,custo,cuom,uctsmo,tomcus,cus,sucmot,tcoums,cmotsu,kustom,cxstom,custox,csitom,curnom,cusktom,cusnjtom,cqhkwm,gcustom,customf,cusyytom,lgxpbn,vaidle
88,1,DAINTY,dainty,adinty,daitny,dainyt,dniaty,dtinay,daity,daint,daty,adniyt,ntydai,nty,iadytn,ndtayi,dytnia,uainty,dainwy,dainth,dahity,davoty,daijnty,daixfnty,dkmufy,zdainty,daintyc,daizznty,rvxpeu,phroke
89,1,DANGER,danger,adnger,dnager,dangre,daegnr,dengar,dager,dange,daer,adgnre,gerdan,ger,nadreg,gdearn,dregna,yanger,dauger,dangec,dagher,dawler,danhger,danvqger,dulyzr,ldanger,dangerb,danuuger,zhswjo,whobic
90,1,DEBRIS,debris,edbris,derbis,debrsi,deirbs,dibres,dbris,debri,deis,edrbsi,risdeb,ris,bedsir,rdiesb,dsirbe,yebris,debrms,debrim,derais,denuis,debnris,debcfris,dkqoxs,udebris,debrisk,debggris,ohcxug,glanch
91,1,DEPART,depart,edpart,deaprt,depatr,dapert,drpaet,dpart,depar,dert,edaptr,artdep,dep,pedtra,adretp,dtrape,oepart,depakt,deparc,dpsart,decvrt,depcart,depixart,dgwzmt,gdepart,departq,depffart,gvklfq,smough
92,1,DEPICT,depict,edpict,depcit,depitc,decipt,dcpiet,deict,depic,dect,ediptc,ictdep,dep,pedtci,idcetp,dtcipe,vepict,depfct,depick,deopct,dekact,depwict,depnvict,dywjat,wdepict,depictw,dephhict,ogjvha,bylona
93,1,DEPLOY,deploy,edploy,delpoy,deplyo,dlpeoy,dopley,depoy,deplo,deoy,edlpyo,loydep,loy,pedyol,ldoeyp,dyolpe,heploy,deplzy,deploj,depfly,decioy,depuloy,dephaloy,dzwcjy,sdeploy,deploym,depqqloy,kjvzar,turgic
94,1,DEPORT,deport,edport,dpeort,depotr,dopert,drpoet,deort,depor,dert,edoptr,ortdep,dep,pedtro,odretp,dtrope,jeport,diport,deporb,dpsort,devhrt,depcort,depinort,dyvkqt,hdeport,deportu,depggort,fxiwvu,jugasm
95,1,DESIGN,design,edsign,desgin,desing,degisn,dgsien,dsign,desig,degn,edisng,igndes,des,sedngi,idgens,dngise,pesign,desihn,desigj,dslign,dewvgn,desrign,desaxign,dzbtkn,mdesign,designl,deshhign,cbhaux,voctal
96,1,DETACH,detach,edtach,dteach,detahc,datech,dctaeh,deach,detac,dech,edathc,achdet,det,tedhca,adceht,dhcate,betach,detarh,detacy,dtlach,dewmch,detzach,detyzach,dfynsh,ydetach,detachk,detffach,viwqys,silong
97,1,DETAIL,detail,edtail,deatil,detali,dateil,ditael,dtail,detai,deil,edatli,aildet,det,tedlia,adielt,dliate,ketail,detayl,detaic,deajil,deyvil,detjail,detqpail,dpvonl,gdetail,detailo,detnnail,nzvwuk,zombus
98,1,DETAIN,detain,edtain,dteain,detani,datein,ditaen,detin,detai,dein,edatni,aindet,det,tednia,adient,dniate,ketain,detcin,detaig,dtpain,dezoin,detqain,detohain,dfocun,cdetain,detainf,detffain,jszfyh,krophs
99,1,DEVOUR,devour,edvour,devuor,devoru,deuovr,duvoer,deour,devou,deur,edovru,ourdev,dev,vedruo,oduerv,druove,aevour,dtvour,devoum,devfor,dejpur,devwour,devigour,dzbhtr,mdevour,devourt,devzzour,zglwkj,fiantz
100,1,DIAPER,diaper,idaper,dipaer,diapre,diepar,deapir,diper,diape,dier,idpare,perdia,dia,aidrep,pdeira,drepai,siaper,difper,diapeo,dizaer,divfer,diazper,diafsper,dhstor,ldiaper,diaperw,diazzper,yoxkwt,knotch
101,1,DIGEST,digest,idgest,diegst,digets,degist,dsgeit,dgest,diges,dist,idegts,estdig,est,gidtse,edsitg,dtsegi,bigest,digkst,digesj,dgfest,dimyst,digmest,diguvest,dzacmt,jdigest,digestl,digaaest,mwpkrc,umplon
102,1,DILUTE,dilute,idlute,diulte,diluet,ditule,dtluie,dilte,dilut,dite,idulet,utedil,dil,lidetu,udtiel,detuli,yilute,dplute,dilutr,diuste,diazte,dilfute,dilnvute,dgznqe,zdilute,dilutep,dilssute,csobjg,robask
103,1,DIRECT,direct,idrect,dircet,diretc,dicert,dcreit,dirct,direc,dict,idertc,ectdir,ect,ridtce,edcitr,dtceri,pirect,difect,direco,diroet,dipbct,diraect,dirqbect,dhbwut,mdirect,directl,dirwwect,yqvoza,umplow
104,1,DISMAY,dismay,idsmay,disamy,dismya,diamsy,dasmiy,dismy,disma,diay,idmsya,maydis,dis,sidyam,mdaiys,dyamsi,bismay,diskay,disman,disqmy,dirkay,dispmay,disbrmay,dgzoky,vdismay,dismayx,disnnmay,kwuefx,tenour
105,1,DOMAIN,domain,odmain,doamin,domani,doiamn,dimaon,doman,domai,doin,odamni,aindom,dom,modnia,adionm,dniamo,homain,domqin,domaic,domtan,dokzin,dombain,domrcain,dgputn,vdomain,domaint,domllain,jscltf,sperch
106,1,DRAGON,dragon,rdagon,drgaon,dragno,dgaron,doagrn,draon,drago,dron,rdgano,gondra,dra,ardnog,gdorna,dnogar,hragon,drqgon,dragot,davgon,drpson,drabgon,draipgon,dvxiqn,xdragon,dragonh,drallgon,juevfy,psefty
107,1,DUPLEX,duplex,udplex,dupelx,duplxe,dlpuex,deplux,dulex,duple,duex,udlpxe,lexdup,dup,pudxel,ldeuxp,dxelpu,buplex,dcplex,dupleq,dpflex,duavex,dupzlex,dupqnlex,dvcyrx,kduplex,duplexn,dupqqlex,rngjza,yorain
108,1,DYNAMO,dynamo,ydnamo,dnyamo,dynaom,dymano,dmnayo,dynao,dynam,dymo,ydanom,amodyn,amo,nydoma,admyon,domany,hynamo,dypamo,dynamv,dyavmo,dyzumo,dynxamo,dynxtamo,dcivro,gdynamo,dynamob,dynggamo,lxqsfe,bripet
109,1,EMBRYO,embryo,mebryo,emrbyo,embroy,emyrbo,eybrmo,emryo,embry,emyo,merboy,ryoemb,emb,bmeoyr,reymob,eoyrbm,tmbryo,embiyo,embryp,emqbyo,emdgyo,embsryo,embpxryo,escquo,kembryo,embryoq,embiiryo,svuzgp,alding
110,1,EMPLOY,employ,meploy,emlpoy,emplyo,emolpy,eoplmy,empoy,emplo,emoy,melpyo,loyemp,emp,pmeyol,leomyp,eyolpm,amploy,enploy,emplod,emltoy,eminoy,empxloy,empqfloy,eabwiy,zemploy,employk,empddloy,zuwqcs,nabrid
111,1,ENIGMA,enigma,neigma,engima,enigam,enmgia,emigna,engma,enigm,enma,negiam,gmaeni,gma,ineamg,gemnai,eamgin,tnigma,enidma,enigml,engyma,enwoma,enilgma,enifpgma,echlqa,lenigma,enigmar,enillgma,rszbov,whodus
112,1,ENOUGH,enough,neough,enoguh,enouhg,euongh,egounh,enugh,enoug,engh,neuohg,ugheno,eno,onehgu,uegnho,ehguon,fnough,envugh,enougy,enubgh,enakgh,enoxugh,enowmugh,ecjsrh,lenough,enougha,enojjugh,rtymdx,blimat
113,1,EQUITY,equity,qeuity,euqity,equiyt,eiuqty,etuiqy,equiy,equit,eqty,qeiuyt,ityequ,ity,uqeyti,ietqyu,eytiuq,dquity,esuity,equits,euaity,eqzoty,equrity,equacity,eabmpy,lequity,equityr,eqummity,jdfvol,cajorn
114,1,ESCORT,escort,secort,ecsort,escotr,esroct,ercost,ecort,escor,esrt,seoctr,ortesc,esc,csetro,oerstc,etrocs,dscort,escont,escorw,escwot,esdlrt,esczort,escklort,enblqt,mescort,escortd,escyyort,lznwjg,knigma
115,1,ETHNIC,ethnic,tehnic,ehtnic,ethnci,enhtic,eihntc,ethnc,ethni,etic,tenhci,niceth,nic,htecin,neitch,ecinht,bthnic,ethnqc,ethnid,ethrnc,etpvic,ethonic,ethdsnic,ebfrqc,vethnic,ethnicj,ethssnic,wglfkx,pumblo
116,1,EXODUS,exodus,xeodus,eoxdus,exodsu,exudos,euodxs,exods,exodu,exus,xedosu,dusexo,exo,oxesud,deuxso,esudox,hxodus,exolus,exoduq,exoyds,exzius,exokdus,exopydus,enrifs,zexodus,exodusz,exoaadus,fzjykb,friant
117,1,EXOTIC,exotic,xeotic,eoxtic,exotci,etoxic,eiotxc,eotic,exoti,exic,xetoci,ticexo,exo,oxecit,teixco,ecitox,axotic,esotic,exotin,extlic,exbuic,exoqtic,exozwtic,edqrsc,dexotic,exotick,exosstic,djvyuw,brangs
118,1,EXPAND,expand,xepand,expnad,expadn,exnapd,enpaxd,expad,expan,exnd,xeapdn,andexp,exp,pxedna,aenxdp,ednapx,txpand,expakd,expanh,expyad,exwknd,expuand,expyzand,egcubd,lexpand,expandj,expffand,yfkbig,sciout
119,1,EXPORT,export,xeport,exoprt,expotr,exropt,erpoxt,expot,expor,exrt,xeoptr,ortexp,ort,pxetro,oerxtp,etropx,uxport,euport,expork,expkot,exzqrt,expkort,expgsort,endmkt,bexport,exportc,expkkort,bdshij,sabing
120,1,FABRIC,fabric,afbric,fabirc,fabrci,frbaic,fibrac,faric,fabri,faic,afrbci,ricfab,ric,bafcir,rfiacb,fcirba,vabric,fvbric,fabriw,fbzric,faxmic,fabwric,fabugric,fkhdlc,qfabric,fabricu,fabjjric,qntjwd,zomeds
121,1,FACTOR,factor,afctor,fatcor,factro,ftcaor,foctar,factr,facto,faor,aftcro,torfac,fac,cafrot,tfoarc,frotca,eactor,factkr,factob,facmtr,fayeor,facutor,facibtor,fgsnwr,yfactor,factorm,facggtor,qwinlg,debush
122,1,FALCON,falcon,aflcon,falocn,falcno,faocln,folcan,falon,falco,faon,afclno,confal,fal,lafnoc,cfoanl,fnocla,talcon,fajcon,falcop,famlon,famqon,falecon,falhwcon,fidgqn,pfalcon,falcont,falxxcon,wpsmiq,girdem
123,1,FAMILY,family,afmily,famliy,famiyl,falimy,flmiay,famiy,famil,faly,afimyl,ilyfam,ily,mafyli,iflaym,fylima,samily,famtly,familp,faihly,fauzly,famcily,famgqily,fpwrcy,sfamily,familyr,famssily,vugnpr,gnotch
124,1,FAMINE,famine,afmine,fmaine,famien,fanime,fnmiae,famie,famin,fane,afimen,inefam,fam,mafeni,ifnaem,fenima,lamine,faoine,faminx,famgie,fatkne,fambine,famrkine,furwke,hfamine,famineh,famqqine,gwodjy,lyrupt
125,1,FAUCET,faucet,afucet,fauect,faucte,faecut,feucat,fauet,fauce,faet,afcute,cetfau,fau,uaftec,cfeatu,ftecua,gaucet,fajcet,fauces,faduet,fawqet,fauocet,faurqcet,fvkbxt,lfaucet,faucetk,fauddcet,rjibhn,ghobin
126,1,FETISH,fetish,eftish,fteish,fetihs,fesith,fstieh,ftish,fetis,fesh,efiths,ishfet,fet,tefhsi,ifseht,fhsite,wetish,fetikh,fetiso,fetaih,fezmsh,fetdish,fetjuish,fukdgh,kfetish,fetishn,fetkkish,arjmvu,klagon
127,1,FIANCE,fiance,ifance,faince,fianec,fnaice,fcanie,fince,fianc,fice,ifnaec,ncefia,nce,aifecn,nfciea,fecnai,riance,fianue,fiancv,fabnce,filgce,fiaqnce,fiauynce,fzbhge,lfiance,fiancev,fiajjnce,rhqlkm,phodus
128,1,FIESTA,fiesta,ifesta,fietsa,fiesat,fitsea,ftesia,festa,fiest,fita,ifseat,stafie,sta,eifats,sftiae,fatsei,xiesta,fiwsta,fiestr,fiedsa,fihzta,fiemsta,fieuxsta,fdgbca,ufiesta,fiestac,fiekksta,gxmcqj,hockup
129,1,FILTER,filter,iflter,filetr,filtre,ftlier,feltir,flter,filte,fier,iftlre,terfil,ter,lifret,tfeirl,fretli,gilter,fqlter,filteh,filgtr,fiqker,filoter,filjwter,fjnmur,yfilter,filterv,filyyter,snuoaj,humban
130,1,FINGER,finger,ifnger,fniger,fingre,fgnier,fengir,fnger,finge,fier,ifgnre,gerfin,ger,nifreg,gfeirn,fregni,binger,fiwger,fingew,fizner,fikmer,finpger,finszger,fhvqbr,pfinger,fingerc,finbbger,dyhpma,jocath
131,1,FLAUNT,flaunt,lfaunt,fluant,flautn,flnuat,fnault,flunt,flaun,flnt,lfuatn,untfla,unt,alftnu,ufnlta,ftnual,vlaunt,fiaunt,flaunq,flqant,flqknt,flaeunt,flaziunt,fywxjt,oflaunt,flauntw,flaoount,ohbpkz,gheord
132,1,FLIGHT,flight,lfight,flihgt,fligth,fgilht,fhiglt,fligt,fligh,flht,lfgith,ghtfli,ght,ilfthg,gfhlti,fthgil,xlight,flipht,flighe,flgvht,fluqht,flieght,fliueght,fkxzbt,nflight,flighto,flimmght,vkmjny,equand
133,1,FLIMSY,flimsy,lfimsy,flmisy,flimys,fmilsy,fsimly,flmsy,flims,flsy,lfmiys,msyfli,msy,ilfysm,mfslyi,fysmil,jlimsy,flgmsy,flimse,fidmsy,flousy,flicmsy,flioumsy,fknpqy,oflimsy,flimsyc,fliddmsy,njapgx,adrout
134,1,FLINCH,flinch,lfinch,flnich,flinhc,flcnih,fcinlh,flinh,flinc,flch,lfnihc,nchfli,fli,ilfhcn,nfclhi,fhcnil,alinch,flmnch,flincb,fliwnh,fltzch,flignch,flixonch,fqkdzh,mflinch,flincha,flikknch,owpqka,parbet
135,1,FLOWER,flower,lfower,floewr,flowre,fwoler,feowlr,flowr,flowe,fler,lfwore,werflo,flo,olfrew,wfelro,frewol,hlower,fltwer,floweq,flnoer,flqier,flokwer,flozjwer,fvygbr,tflower,flowerh,floyywer,qxcjyt,jaimsy
136,1,FLUENT,fluent,lfuent,flunet,fluetn,flneut,fnuelt,flent,fluen,flnt,lfeutn,entflu,ent,ulftne,efnltu,ftneul,gluent,fluect,fluenw,fukent,flzant,fluxent,flukpent,fwypct,vfluent,fluentk,fluaaent,vgkprd,vachid
137,1,FONDLE,fondle,ofndle,fonlde,fondel,fdnole,flndoe,fonde,fondl,fole,ofdnel,dlefon,dle,nofeld,dfloen,feldno,bondle,findle,fondlb,fntdle,fokrle,fonpdle,fonukdle,fgcive,gfondle,fondlek,fonaadle,kgvbsh,craish
138,1,FOREST,forest,ofrest,froest,forets,fosert,fsreot,foest,fores,fost,oferts,estfor,est,roftse,efsotr,ftsero,morest,forwst,foresl,foedst,fobdst,forwest,forwaest,fjvcqt,jforest,forestc,forxxest,daibkq,umpand
139,1,FOSTER,foster,ofster,fosetr,fostre,ftsoer,festor,foter,foste,foer,oftsre,terfos,fos,sofret,tfeors,fretso,ioster,fostdr,fostey,folser,fomier,foskter,fosjzter,fjnumr,lfoster,fosterv,fosaater,dbmjqk,unaich
140,1,FRENZY,frenzy,rfenzy,frezny,frenyz,frzney,fzenry,fenzy,frenz,frzy,rfneyz,nzyfre,nzy,erfyzn,nfzrye,fyzner,hrenzy,frwnzy,frenzl,fresny,fraxzy,frednzy,frekmnzy,fvaquy,jfrenzy,frenzyd,freoonzy,wkmuli,houpid
141,1,FRESCO,fresco,rfesco,frseco,fresoc,fserco,fcesro,freso,fresc,frco,rfseoc,scofre,fre,erfocs,sfcroe,focser,presco,freaco,fresct,fevsco,frupco,fremsco,frempsco,fqktvo,dfresco,frescom,frennsco,qgzjdt,gablit
142,1,FRIEND,friend,rfiend,firend,friedn,feirnd,fnierd,frend,frien,frnd,rfeidn,endfri,fri,irfdne,efnrdi,fdneir,ariend,friexd,frienu,frejnd,frtznd,friyend,friztend,fogvwd,qfriend,frienda,friggend,xovpwj,muthop
143,1,FRIGHT,fright,rfight,frgiht,frigth,fgirht,fhigrt,frght,frigh,frht,rfgith,ghtfri,ght,irfthg,gfhrti,fthgir,dright,faight,frigho,frgnht,froqht,frisght,fripqght,fkjeot,pfright,frightj,frieeght,kqcdom,klacue
144,1,FRINGE,fringe,rfinge,frigne,frineg,frgnie,fginre,frige,fring,frge,rfnieg,ngefri,nge,irfegn,nfgrei,fegnir,aringe,fminge,fringp,fihnge,frqage,frijnge,friyunge,fhwxse,dfringe,fringej,friddnge,ojkcvy,almoud
145,1,FROLIC,frolic,rfolic,frloic,frolci,friloc,fiolrc,frlic,froli,fric,rfloci,licfro,lic,orfcil,lfirco,fcilor,srolic,froljc,froliw,frozlc,frgbic,froplic,frojtlic,fapdmc,qfrolic,frolice,frobblic,vqgjtx,paudge
146,1,FRUGAL,frugal,rfugal,frgual,frugla,fragul,faugrl,fugal,fruga,fral,rfgula,galfru,fru,urflag,gfarlu,flagur,jrugal,fxugal,frugaj,frmual,frjoal,fruygal,fruyxgal,fyivhl,jfrugal,frugalk,fruhhgal,whimdn,hecton
147,1,FUMBLE,fumble,ufmble,fmuble,fumbel,fbmule,flmbue,fuble,fumbl,fule,ufbmel,blefum,fum,mufelb,bfluem,felbmu,wumble,fumcle,fumblz,fucmle,fudxle,fumzble,fumkqble,fqioze,afumble,fumblew,fumttble,wkyiqc,octaid
148,1,GARDEN,garden,agrden,graden,gardne,gdraen,gerdan,grden,garde,gaen,agdrne,dengar,gar,ragned,dgeanr,gnedra,xarden,gakden,gardem,garzdn,gauben,garlden,garmxden,gqfyjn,ogarden,gardenl,garttden,pvicyf,splich
149,1,GARLIC,garlic,agrlic,gralic,garlci,gailrc,girlac,garlc,garli,gaic,aglrci,licgar,gar,ragcil,lgiacr,gcilra,yarlic,gajlic,garlih,grjlic,gaetic,garplic,garhslic,gjeqvc,bgarlic,garlicz,garzzlic,wobmud,fobume
150,1,GENIAL,genial,egnial,geinal,genila,gineal,ganiel,genal,genia,geal,eginla,ialgen,ial,neglai,igaeln,glaine,henial,gental,geniak,geynal,gehval,genpial,genzsial,gxpjdl,ogenial,genialq,genhhial,kypdbz,hocupy
151,1,GENIUS,genius,egnius,gneius,genisu,geuins,gunies,gnius,geniu,geus,eginsu,iusgen,ius,negsui,iguesn,gsuine,qenius,gexius,geniux,gnjius,gechus,genoius,gendlius,gmacks,lgenius,geniusq,genppius,yoxhkl,corady
152,1,GIRDLE,girdle,igrdle,gridle,girdel,gdrile,glrdie,gidle,girdl,gile,igdrel,dlegir,gir,rigeld,dglier,geldri,birdle,gurdle,girdlj,gidxle,gikcle,girtdle,girzmdle,gfzmce,kgirdle,girdlet,giroodle,kqmfha,factum
153,1,GLANCE,glance,lgance,glnace,glanec,gnalce,gcanle,glnce,glanc,glce,lgnaec,ncegla,gla,algecn,ngclea,gecnal,mlance,gzance,glanct,glsace,glxuce,glasnce,glawrnce,gyodpe,rglance,glancej,glaqqnce,whjzqm,fishor
154,1,GOBLIN,goblin,ogblin,golbin,goblni,glboin,giblon,gblin,gobli,goin,oglbni,lingob,lin,bognil,lgionb,gnilbo,poblin,gomlin,gobliy,goljin,goctin,gobelin,gobcdlin,gzptxn,dgoblin,goblinw,gobwwlin,scvtxy,frumet
155,1,GOSPEL,gospel,ogspel,gosepl,gosple,goepsl,gespol,gopel,gospe,goel,ogpsle,pelgos,pel,soglep,pgeols,glepso,nospel,gvspel,gosper,goscpl,gozxel,gostpel,goscmpel,gjurdl,ugospel,gospelv,gosiipel,uxmwdf,hicard
156,1,GOVERN,govern,ogvern,govren,govenr,gorevn,grveon,gvern,gover,gorn,ogevnr,erngov,gov,vognre,egronv,gnrevo,uovern,goveun,goverj,govmen,gofhrn,govxern,govhmern,gjydsn,sgovern,governl,goviiern,cyuwas,sablic
157,1,GRUMPY,grumpy,rgumpy,grupmy,grumyp,grpmuy,gpumry,grmpy,grump,grpy,rgmuyp,mpygru,gru,urgypm,mgpryu,gypmur,wrumpy,ghumpy,grumpc,gusmpy,grszpy,grujmpy,grudfmpy,gqsdey,igrumpy,grumpyd,gruwwmpy,dwoefc,knaich
158,1,GUITAR,guitar,ugitar,giutar,guitra,gtiuar,gaitur,guitr,guita,guar,ugtira,targui,gui,iugrat,tgauri,gratiu,yuitar,guitjr,guitas,guliar,guejar,guictar,guiwjtar,glzpcr,sguitar,guitarw,guieetar,jfmwed,expold
159,1,HALTER,halter,ahlter,hatler,haltre,haetlr,heltar,haltr,halte,haer,ahtlre,terhal,ter,lahret,thearl,hretla,nalter,haljer,haltef,hatper,hafker,halxter,halgdter,hjmucr,xhalter,halterz,halbbter,gdkxpz,mickup
160,1,HERMIT,hermit,ehrmit,hremit,hermti,hmreit,hirmet,hrmit,hermi,heit,ehmrti,mither,mit,rehtim,mhietr,htimre,vermit,hewmit,hermiu,herbmt,hekait,hercmit,herwomit,hszyat,shermit,hermito,herppmit,wxbnyk,sucand
161,1,HINDER,hinder,ihnder,hnider,hindre,hiednr,hendir,hider,hinde,hier,ihdnre,derhin,hin,nihred,dheirn,hredni,qinder,hinuer,hindek,hnoder,hiyger,hinfder,hinboder,hbfjur,yhinder,hinderk,hinttder,jtagmq,walcot
162,1,HOCKEY,hockey,ohckey,hokcey,hockye,hkcoey,heckoy,hckey,hocke,hoey,ohkcye,keyhoc,hoc,cohyek,kheoyc,hyekco,uockey,hocbey,hockew,hopcey,hoajey,hocikey,hoczpkey,habgvy,ihockey,hockeym,hocddkey,sjdnit,rigsta
163,1,HORNET,hornet,ohrnet,hronet,hornte,hoenrt,hernot,hrnet,horne,hoet,ohnrte,nethor,hor,rohten,nheotr,htenro,fornet,hormet,hornel,horcnt,hojlet,horgnet,horbgnet,hfgcvt,ahornet,horneti,horddnet,yvpcls,limbug
164,1,HUMBLE,humble,uhmble,humlbe,humbel,hulbme,hlmbue,hmble,humbl,hule,uhbmel,blehum,ble,muhelb,bhluem,helbmu,yumble,humwle,humbla,humpbe,hurcle,humdble,humxkble,hzaqie,xhumble,humblei,humiible,vdosrw,carnip
165,1,HUNGER,hunger,uhnger,hunegr,hungre,huegnr,hengur,hungr,hunge,huer,uhgnre,gerhun,ger,nuhreg,gheurn,hregnu,sunger,hunier,hunges,hunsgr,hubder,hunfger,huncager,hlcibr,xhunger,hungerq,hunssger,qzbktw,sicald
166,1,HUNGRY,hungry,uhngry,hugnry,hungyr,hurgny,hrnguy,hunry,hungr,hury,uhgnyr,gryhun,gry,nuhyrg,ghruyn,hyrgnu,oungry,hungzy,hungrc,huenry,huvpry,hunqgry,hunmjgry,hxoapy,chungry,hungryx,hunmmgry,aimvzl,sabeld
167,1,HURDLE,hurdle,uhrdle,hrudle,hurdel,huldre,hlrdue,hudle,hurdl,hule,uhdrel,dlehur,hur,ruheld,dhluer,heldru,aurdle,hnrdle,hurdls,hudkle,hugfle,hurpdle,hurvwdle,hbqfoe,nhurdle,hurdlej,huroodle,cqmjbg,ignops
168,1,HUSTLE,hustle,uhstle,huslte,hustel,htsule,hlstue,hutle,hustl,hule,uhtsel,tlehus,tle,suhelt,thlues,heltsu,nustle,hjstle,hustlq,huvsle,hudjle,husgtle,husoftle,hgnfie,ohustle,hustley,husddtle,jyvqzc,invora
169,1,HYBRID,hybrid,yhbrid,hyrbid,hybrdi,hrbyid,hibryd,hybid,hybri,hyid,yhrbdi,ridhyb,hyb,byhdir,rhiydb,hdirby,zybrid,hybrud,hybrik,hyruid,hyeaid,hyberid,hybltrid,htskad,ghybrid,hybridq,hybuurid,ntfemp,calemn
170,1,IGNORE,ignore,ginore,ingore,ignoer,igrone,irnoge,ignre,ignor,igre,gioner,oreign,ign,ngiero,oirgen,ierong,ugnore,igaore,ignora,igocre,igkbre,igntore,ignfwore,itzqme,jignore,ignoreq,ignbbore,tfhwcb,slatch
171,1,IMPORT,import,miport,ipmort,impotr,iopmrt,irpomt,iport,impor,imrt,mioptr,ortimp,ort,pmitro,oirmtp,itropm,smport,izport,imporn,ipwort,imzdrt,impkort,impnaort,ibksct,qimport,importe,impnnort,zhsdyx,hunacy
172,1,IMPOSE,impose,mipose,ipmose,impoes,iopmse,ispome,imose,impos,imse,miopes,oseimp,ose,pmieso,oismep,iesopm,jmpose,impore,imposk,impvoe,imnqse,impfose,impryose,iqfzwe,limpose,imposeb,impwwose,kwqtzv,caunty
173,1,INCOME,income,nicome,icnome,incoem,iocnme,imcone,incme,incom,inme,niocem,omeinc,inc,cniemo,oimnec,iemocn,pncome,incore,incoma,invcme,inhqme,incaome,inczdome,iujqze,lincome,incomew,incqqome,bpjxgd,rasult
174,1,INDUCE,induce,niduce,inudce,induec,incude,icdune,indue,induc,ince,niudec,uceind,uce,dniecu,uicned,iecudn,wnduce,igduce,inducj,indaue,inpvce,indzuce,indtmuce,ioazye,vinduce,inducel,indwwuce,mlzsag,broalf
