Recommended Column Name,Description
accuracy,Binary indicator of whether the participant's response was correct.
condition,Experimental condition assigned to the trial.
image_filename,file name of the images
participant_id,Unique identifier assigned to each participant.
phase_id,"Identifier for the experimental phase or block a trial belongs to (e.g., practice, test, recall)."
response,Participant's response
rt,"Time taken by the participant to respond, in milliseconds."
stimulus,The linguistic or visual stimulus presented to the participant in a given trial.
trial_id,Unique identifier for a single trial within a session or condition.
