experiment,participant_id,trial_id,trial_order,phase_id,prime,target,response,response_correct,accuracy,rt,age,gender,hand,rt_measure
semantic_priming,4,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,557.025,30,M,right,keypress
semantic_priming,74,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,673.13,24,M,right,keypress
semantic_priming,24,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,673.025,22,F,right,keypress
semantic_priming,67,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,857.51,24,M,right,keypress
semantic_priming,54,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,531.9300000000001,26,F,right,keypress
semantic_priming,42,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,619.105,23,M,right,keypress
semantic_priming,2,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,698.0,27,F,right,keypress
semantic_priming,38,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,598.5200000000001,20,F,right,keypress
semantic_priming,43,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,586.865,22,M,right,keypress
semantic_priming,31,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,681.3399999999999,27,F,right,keypress
semantic_priming,26,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,1246.15,21,F,right,keypress
semantic_priming,34,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,401.22999999999996,22,F,right,keypress
semantic_priming,8,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,799.995,21,F,left,keypress
semantic_priming,45,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,737.63,21,F,right,keypress
semantic_priming,20,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,401.275,22,F,right,keypress
semantic_priming,46,exp1_t0,0,judgment,ragno,abete,0.0,1,0.0,467.59499999999997,22,F,right,keypress
semantic_priming,12,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,521.16,23,M,right,keypress
semantic_priming,5,exp1_t0,0,judgment,ragno,abete,0.0,1,0.0,541.605,24,F,right,keypress
semantic_priming,7,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,498.07,21,F,right,keypress
semantic_priming,29,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,635.435,24,F,right,keypress
