participant_id,trial_order,cue_id,stimulus,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,response12,response13,response14,response15,response16,response17,response18,response19,response20,first_key_RT1,first_key_RT2,first_key_RT3,first_key_RT4,first_key_RT5,first_key_RT6,first_key_RT7,first_key_RT8,first_key_RT9,first_key_RT10,first_key_RT11,first_key_RT12,first_key_RT13,first_key_RT14,first_key_RT15,first_key_RT16,first_key_RT17,first_key_RT18,first_key_RT19,first_key_RT20
2,4,5,CUDDLE,HUG,SNUGGLE,WARM,LOVE,SNOG,KISS,FONDLE,FOND,LIKE,CARE,CARING,SMOOCH,SNUZZLE,WARMTH,SYMPATHY,SYMPATHIZE,CARING,LOVING,HOLD,HUGGING,1338.1,4759.6,1135.6,423.6,872.0,2239.7,4087.6,1066.6,361.3,871.7,915.3,2463.5,1831.1,863.3,6942.7,871.1,796.2,522.8,551.5,8018.3
2,5,8,ENAMEL,HARD,SURFACE,TEETH,WHITE,COATING,MOUTH,DENTIST,ORAL,DENTAL,DENTYNE,LACQUER,VARNISH,PROTECTION,PROTECTIVE,COVER,OUTER,OUTSIDE,MOLARS,TOOTH,DECAY,1202.0,1575.4,619.9,1175.8,1807.7,607.4,767.8,2455.8,2467.6,791.6,3363.4,1079.6,1427.4,607.5,927.4,1967.5,570.3,923.8,4305.1,1841.2
2,6,13,GEM,JEWEL,RING,STONE,VALUABLE,CHERISH,STONES,RUBY,DIAMOND,SPARKLE,POLISH,LOVELY,BEAUTY,PRIZE,FASHION,AGATE,COLOR,PRECIOUS,LOVE,WEAR,EMBELLISH,1383.6,3290.4,1062.0,2113.3,1659.9,3977.6,3192.5,1465.2,869.5,1345.3,1246.2,1149.7,2039.5,6096.3,4527.3,3649.7,4614.6,2948.7,4928.8,2737.2
2,7,23,MOUNTAIN,HILL,PEAK,SUMMIT,CLIMB,CONQUER,REACH,TREK,HIKE,CLAMBER,BEAT,DEFEAT,OVERCOME,ADVERSITY,CHALLENGE,BEAUTY,NATURE,SCENERY,VIEW,TOP,GRANITE,1175.3,1603.2,758.6,855.5,545.0,418.8,447.3,1392.1,511.9,538.8,807.3,463.6,1310.9,1154.8,1183.1,455.2,558.8,443.7,2800.5,3447.1
2,8,26,PASTA,NOODLES,SPAGHETTI,ITALIAN,FOOD,STAPLE,BASIN,CARBOHYDRATES,FILLING,NOURISHING,FLOUR,SAUCE,BOLOGNAISE,MEAT,VEGETABLES,TOMATO,DIET,HEALTHY,FILLING,HEARTY,FEED,1220.4,647.4,939.2,953.5,519.6,695.5,975.7,2319.3,631.7,2887.5,3551.4,1607.7,1706.9,868.8,743.6,4660.2,1551.5,1359.4,463.4,757.0
2,9,27,PEACOCK,PROUD,FEATHER,BLUE,TAIL,BIRD,SHOWY,ELABORATE,BEAUTIFUL,NATURE,COLORFUL,FLY,CRY,SCREECH,CALL,WINGS,TAIL,PRESTIGE,BOASTFUL,ROYAL,LAVISH,1166.2,1399.7,1068.5,1111.4,635.7,1499.9,859.4,475.4,919.5,3496.1,2566.5,1788.7,1567.8,1183.9,3455.7,887.8,3871.1,3079.7,1751.6,3063.8
2,10,28,PUKE,SICK,VOMIT,NAUSEA,NASTY,SMELLY,DISLIKE,BARF,BAULK,BELCH,FART,SICKNESS,VOMITING,POISON,HATE,DISLIKE,UNPLEASANT,VILE,RUDE,COUGH,CHOKE,1331.6,487.3,407.8,1535.2,431.7,3943.6,2159.8,1278.0,1491.3,687.7,7148.9,1503.1,1149.8,4554.4,751.3,2319.6,951.7,2015.3,7805.8,907.2
3,1,2,BATTLE,1066,HASTINGS,WAR,KILLING,SAVING,PEOPLE,GUNS,AMMUNITION,MEN,WOMAN,HORSES,BOMBS,GRANADES,FIGHT,FLIGHT,HEROS,NOISE,COMMOTION,DEATH,DYING,1804.0,619.8,258.5,2591.7,884.1,657.3,586.2,350.0,451.6,380.0,950.2,1804.4,936.0,4788.8,997.0,1089.5,2674.6,1910.4,381.0,1049.7
3,2,11,FOLD,OPERATION,CREASE,OVER,IN,SHEEP,RELIGIOUS,MATERIAL,,,,,,,,,,,,,,1751.2,1769.4,4361.8,2854.7,11710.5,6100.9,17965.8,,,,,,,,,,,,,
3,3,16,HEROIN,DRUG,BAD,HABIT,SPOON,FIRE,CRIMINALS,STREETS,GANGS,ADDICTS,HELP,MEDICINE,COMA,BAD,NASTY,KILLING,SLEEP,HALUCINATIONS,TRIP,NEEDLE,ARMS,1702.2,1421.5,2324.6,505.4,1352.1,2127.1,869.3,733.8,501.7,4618.9,1839.4,917.7,7202.5,1173.3,2207.0,2213.2,429.7,570.4,1339.1,1254.5
3,4,17,KIDNEY,BODY,TWO,NEED,ORGAN,SHAPED,BINARY,TRANSPLANT,OPERATION,DIALYSIS,HOSPITAL,DOCTOR,NURSE,MACHINE,OPERATION,DISEASE,STONES,BLOOD,FILTER,LAMBS,SHEEP,2413.2,1720.9,1863.9,644.6,872.1,5779.0,1824.7,439.9,658.6,2483.0,890.7,432.7,3794.6,547.2,4922.1,2283.5,3030.9,5593.6,6046.0,2464.8
3,5,20,MAGNIFY,LENS,BIGGER,GLASS,HANDLE,BIG,INCREASE,SEEING,LARGE,EYES,TASKS,SHINE,SUN,FIRE,LIGHTS,HOME,HAND,PLANETS,SKY,STARS,GALAXY,1456.7,4193.4,1124.7,818.5,1101.9,476.8,590.4,641.7,3890.3,5656.8,3248.4,546.3,795.6,526.4,3344.0,528.6,504.8,381.4,1041.5,2934.9
3,6,21,MONASTERY,BUILDING,MONK,ABBEY,RELIGIOUS,VESTMENT,CELLS,BEER,WINE,CHOCOLATE,BIBLE,CROSS,ABBOT,MEN,CLOTH,HEALING,HERBS,SOLITARY,HABIT,STOLE,SINGING,1175.8,1453.0,1957.5,1735.7,1120.7,478.0,574.0,526.1,422.6,816.8,750.3,432.3,1252.2,1286.3,1369.1,919.4,838.3,1663.8,2454.0,994.5
3,7,29,RADIO,STATION,DIAL,KNOB,TUNER,TUNE,DJ,LIGHTS,BULBS,VALVES,DIGITAL,ONLINE,BBC,INDEPENDENT,SATELLITE,PRESENTERS,MUSIC,OPERA,FOREIGN,HELP,ASSISTANCE,1335.3,1168.4,566.0,624.3,942.7,2222.9,1008.0,1669.0,672.0,359.2,1655.0,962.5,898.2,1017.5,12998.0,404.1,428.1,926.1,1270.1,1073.7
3,8,32,SPANK,HIT,SMACK,HIT,BOTTOM,SCHOOL,TEACHER,CANE,HAND,BOOK,LEATHER,BELT,HARM,HURT,CRY,LIKE,BAD,NAUGHTY,CHILD,HURTING,HIT,1663.5,1855.2,397.2,2986.7,844.1,595.2,814.1,429.4,501.8,3137.9,458.7,476.8,440.8,280.4,440.8,5603.5,870.7,502.9,2565.6,2779.7
3,9,36,STOMACH,RUMBLE,FOOD,FULL,EMPTY,ORGAN,INSIDE,SHEEP,,,,,,,,,,,,,,1467.0,477.7,3013.7,499.6,7162.9,4083.3,463.0,,,,,,,,,,,,,
3,10,37,TEXTILE,CLOTH,PATTERN,PLAIN,DRESS,COAT,MAT,ROUGH,SMOOTH,COLORS,DETAILS,FEEL,REUPHOLSTER,COVERS,SITTING,SEATS,CHAIRS,SOFAS,LOOM,MANUFACTURE,SPIN,2528.8,1314.9,448.0,753.4,1098.8,2119.5,1389.1,249.8,6092.9,1832.3,1183.7,4494.4,2395.3,1354.7,975.8,693.5,1567.4,8319.1,1324.6,5281.4
4,1,9,FARMYARD,MUD,FARMER,PIG,COW,DUCK,SHEEP,CHICKEN,TRACTOR,BARN,MACHINERY,FOOTPATH,SMELL,PUDDLES,POND,LABORER,EGGS,FIELD,STY,STABLE,COOP,984.5,3804.6,929.4,321.5,840.2,1527.2,497.0,449.3,688.9,4378.6,448.7,586.8,828.4,1862.0,5176.7,2851.0,3322.9,1670.2,455.2,1866.2
4,2,10,FIG,TREE,JAM,CHUTNEY,FRUIT,BROWN,DELICIOUS,MASCARPONE,MEDITERRANEAN,TASTY,SEEDS,LEAVES,EDEN,ROLLS,PUDDING,FOOD,TREAT,BIBLICAL,DATE,CHRISTMAS,VICTORIAN,2562.0,884.4,395.0,1195.2,3242.2,2453.7,4670.8,934.3,1485.8,3111.8,2945.8,3942.3,13304.7,3355.9,598.8,4241.6,4484.6,9512.7,4259.5,5456.9
4,3,12,FRAGMENT,PIECE,PART,LITTLE,BROKEN,BRITTLE,OLD,ANTIQUE,CRUMB,DETERIORATE,BREAK,APART,GLASS,CHINA,FABRIC,PRECIOUS,HAMMER,SMITHEREEN,,,,1060.9,873.6,10553.0,800.5,2461.0,2333.8,2101.3,7052.3,11070.6,8324.8,2799.7,7319.4,1861.5,1466.7,7739.9,11664.9,17413.9,,,
4,4,14,GROUNDHOG,FILM,SAME,ANIMAL,AMERICAN,MAMMAL,REPETITIVE,BURROW,ROUTINE,FUR,BROWN,BILL MURRAY,MUSICAL,DAY,UNFAMILIAR,SMALL,RODENT,CARTOON,MEME,,,5282.7,946.0,3536.3,1636.1,5071.7,3900.1,3589.7,1909.5,1587.4,3100.0,7754.9,2592.6,1930.8,13939.2,3662.8,586.7,4282.4,2265.1,,
4,5,22,MOSQUITO,BUZZ,STING,MALARIA,NUISANCE,INSECT,FLYING,WINGS,NETS,LARVAE,THORAX,ABDOMEN,AFRICA,REPELLANT,PEST,HORRIBLE,TINY,SWARMING,BITES,ITCHING,DISEASE,3159.7,1350.6,1833.2,1530.0,1024.9,511.5,548.5,3568.0,5400.7,3511.4,593.5,4891.4,3989.6,2131.6,9663.3,13447.5,7386.4,12828.1,6469.3,7629.6
