Recommended Column Name,Description
accuracy,Binary indicator of whether the participant's response was correct.
lexicality,Variable with two levels denoting lexical status of the sequence of letters (word and pseudoword).
participant_id,Unique identifier assigned to each participant.
response,Participant's response
rt,Time taken by the participant to respond
stimulus,The linguistic stimulus presented to the participant in a given trial.
trial_id,Unique identifier for a single trial within a session or condition.
trial_order,Presentation order within the session (0-indexed). The order in which the participant saw this trial.
