experiment,participant_id,trial_label,trial_order,phase_id,stimulus,target_word,response,emotion,rt,age,gender,rt_measure
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t16,16,word_decoding,landado,enfadado,lanzado,anger,8417.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t17,17,word_decoding,flastación,visión,plantación,happiness,9172.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t18,18,word_decoding,queranza,añoranza,crianza,sadness,6133.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t19,19,word_decoding,clespiente,veneno,serpiente,fear,8782.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t20,20,word_decoding,residuera,basura,residencia,disgust,5250.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t21,21,word_decoding,bendigolo,mendigo,mendigo,sadness,20150.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_2,exp2_t22,22,word_decoding,eniecido,enemigo,encendido,anger,16550.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t0,0,word_decoding,bailetín,carnaval,bailador,happiness,9117,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t1,1,word_decoding,clespiente,veneno,serpiente,fear,4584.5,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t2,2,word_decoding,bendigolo,mendigo,bendición,sadness,4519.8,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t3,3,word_decoding,flastación,visión,pedo,happiness,3600.2,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t4,4,word_decoding,descín,ruina,descifrar,sadness,14669.1,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t5,5,word_decoding,frórico,eufórico,luminoso,happiness,18685.3,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t6,6,word_decoding,palabrostio,insulto,palabrota,anger,4533.3,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t7,7,word_decoding,desabete,censura,diabetes,disgust,4034.3,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t8,8,word_decoding,fiminos,piojos,femina,disgust,8902.9,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t9,9,word_decoding,plareja,novio,pareja,happiness,3020.3,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t10,10,word_decoding,fumaika,tabaco,marihuana,disgust,16013.4,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t11,11,word_decoding,fierdo,hedor,miedo,disgust,14230.1,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t12,12,word_decoding,valacer,cadáver,fallecer,sadness,5766.5,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t13,13,word_decoding,eniecido,enemigo,nacido,anger,18883.5,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t14,14,word_decoding,argola,pistola,gárgola,fear,9953.8,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t15,15,word_decoding,dastro,intruso,padrastro,fear,86101.8,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t16,16,word_decoding,residuera,basura,residencia,disgust,4200,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t17,17,word_decoding,dinería,lotería,rico,happiness,5700.6,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t18,18,word_decoding,chismolo,rumor,trasto,anger,12582.5,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t19,19,word_decoding,puntiaguja,espada,vía,fear,21270.1,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t20,20,word_decoding,distantación,lejanía,lejanía,sadness,9531.1,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t21,21,word_decoding,landado,enfadado,golpeado,anger,18283.5,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t22,22,word_decoding,furieta,rabia,rabia,anger,6103.3,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t23,23,word_decoding,enjauladero,prisión,jaula,fear,3613.8,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_3,exp2_t24,24,word_decoding,queranza,añoranza,carencia,sadness,11001.9,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t0,0,word_decoding,fiminos,piojos,filmar,disgust,14334.1,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t1,1,word_decoding,frórico,eufórico,frotar,happiness,14034.8,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t2,2,word_decoding,fierdo,hedor,fiera,disgust,5717.3,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t3,3,word_decoding,dinería,lotería,dinero,happiness,4183.9,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t4,4,word_decoding,bailetín,carnaval,boletín,happiness,4250.3,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t5,5,word_decoding,clespiente,veneno,cleptómano,fear,5566.4,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t6,6,word_decoding,queranza,añoranza,querer,sadness,10533.1,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t7,7,word_decoding,puntiaguja,espada,puntiaguda,fear,4734.7,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t8,8,word_decoding,chismolo,rumor,chisme,anger,7867.2,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t9,9,word_decoding,distantación,lejanía,distanciación,sadness,8350.2,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t10,10,word_decoding,fumaika,tabaco,fumar,disgust,4349.9,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t11,11,word_decoding,descín,ruina,descender,sadness,4534.2,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t12,12,word_decoding,furieta,rabia,furia,anger,7184.4,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t13,13,word_decoding,residuera,basura,residuo,disgust,5367.6,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t14,14,word_decoding,desabete,censura,desacatar,disgust,4350.1,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t15,15,word_decoding,flastación,visión,flash,happiness,11050.9,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t16,16,word_decoding,enjauladero,prisión,enjaular,fear,5433.8,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t17,17,word_decoding,landado,enfadado,candado,anger,6650.4,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t18,18,word_decoding,bendigolo,mendigo,bendición,sadness,8599.5,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t19,19,word_decoding,plareja,novio,pareja,happiness,7001.3,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t20,20,word_decoding,argola,pistola,arma,fear,9067,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t21,21,word_decoding,dastro,intruso,diestro,fear,4601.7,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_4,exp2_t22,22,word_decoding,valacer,cadáver,valorar,sadness,8684.4,19,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t0,0,word_decoding,valacer,cadáver,hacer,sadness,14266.7,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t1,1,word_decoding,frórico,eufórico,frigorífico,happiness,63486.3,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t2,2,word_decoding,eniecido,enemigo,necio,anger,34506.4,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t3,3,word_decoding,landado,enfadado,andado,anger,7642,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t4,4,word_decoding,chismolo,rumor,chismoso,anger,5550,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t5,5,word_decoding,dastro,intruso,astro,fear,3747.7,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t6,6,word_decoding,descín,ruina,decir,sadness,8866.6,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t7,7,word_decoding,argola,pistola,gargola,fear,18688.7,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t8,8,word_decoding,enjauladero,prisión,enjaular,fear,7738.8,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t9,9,word_decoding,fierdo,hedor,fiordo,disgust,9741.9,19,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_5,exp2_t10,10,word_decoding,bailetín,carnaval,boletin,happiness,20027.8,19,male,keypress
