experiment,participant_id,trial_label,trial_order,phase_id,stimulus,response,emotion,rt,age,gender,rt_measure
martineztomas2026_discrete_emotionality_exp1,exp1_3,exp1_t12,12,production,veneno,tececo,fear,29476.2,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_3,exp1_t13,13,production,tabaco,jafato,disgust,16384,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_3,exp1_t14,14,production,mendigo,segtico,sadness,34750,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_3,exp1_t15,15,production,piojos,tiozok,disgust,24251,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_3,exp1_t16,16,production,cadáver,fapáder,sadness,22587.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_3,exp1_t17,17,production,insulto,iclusdo,anger,43657,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_3,exp1_t18,18,production,enemigo,egetido,anger,18517.2,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_3,exp1_t19,19,production,censura,detdupa,disgust,50781.1,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_3,exp1_t20,20,production,carnaval,sagtacas,happiness,30452,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_3,exp1_t21,21,production,lejanía,fepatía,sadness,30449.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t0,0,production,novio,tenamoki,happiness,39314.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t1,1,production,eufórico,alanana,happiness,18212.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t2,2,production,mendigo,poruno,sadness,16600.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t3,3,production,basura,fetiolor,disgust,41268.1,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t4,4,production,añoranza,calolana,sadness,59582.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t5,5,production,veneno,diporaira,fear,18015.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t6,6,production,cadáver,lombrino,sadness,19317.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t7,7,production,insulto,gilapuerta,anger,23916.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t8,8,production,hedor,hedusco,disgust,18386.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t9,9,production,censura,melura,disgust,10083.2,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t10,10,production,intruso,riguliu,fear,14254.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t11,11,production,piojos,saltipeli,disgust,22102.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t12,12,production,prisión,plalena,fear,37232.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t13,13,production,enfadado,giratibo,anger,30599.8,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t14,14,production,visión,ojion,happiness,9204.1,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t15,15,production,lotería,dinecimo,happiness,21900.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t16,16,production,carnaval,caracareo,happiness,65099.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t17,17,production,enemigo,antial,anger,43868.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_4,exp1_t18,18,production,tabaco,cofococo,disgust,16680,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_5,exp1_t0,0,production,cadáver,teluo,sadness,17877.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_5,exp1_t1,1,production,enemigo,letro,anger,9919.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_5,exp1_t2,2,production,mendigo,letereo,sadness,32835.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_5,exp1_t3,3,production,rumor,sufio,anger,21282.2,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_5,exp1_t4,4,production,eufórico,agante,happiness,17984.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_5,exp1_t5,5,production,enfadado,brosco,anger,12436.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_5,exp1_t6,6,production,basura,potole,disgust,73985.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_5,exp1_t7,7,production,carnaval,sertela,happiness,28663.2,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_5,exp1_t8,8,production,prisión,tromón,fear,20097.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_5,exp1_t9,9,production,hedor,gusos,disgust,14278.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_5,exp1_t10,10,production,insulto,plotún,anger,49485.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_5,exp1_t11,11,production,lejanía,trisea,sadness,92703.2,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_5,exp1_t12,12,production,tabaco,guipo,disgust,15469.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_5,exp1_t13,13,production,añoranza,faresa,sadness,9927.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t0,0,production,enfadado,asturante,anger,5684.2,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t1,1,production,censura,tensurante,disgust,56370,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t2,2,production,insulto,astante,anger,9233.7,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t3,3,production,prisión,barriote,fear,12799.4,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t4,4,production,eufórico,eastante,happiness,18333.8,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t5,5,production,espada,sapala,fear,10983.2,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t6,6,production,añoranza,asturan,sadness,6149.4,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t7,7,production,basura,tatura,disgust,12300.2,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t8,8,production,pistola,piumpa,fear,7349.2,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t9,9,production,piojos,ostrinos,disgust,8066.8,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t10,10,production,visión,objito,happiness,21900.6,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t11,11,production,rabia,malinara,anger,13665.8,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t12,12,production,tabaco,tosito,disgust,22684.6,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t13,13,production,hedor,pestor,disgust,35483.8,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t14,14,production,intruso,iustino,fear,31983.6,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t15,15,production,carnaval,tartala,happiness,12033.4,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t16,16,production,rumor,vaijeto,anger,12616.4,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t17,17,production,mendigo,tolino,sadness,16066.8,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t18,18,production,novio,miolo,happiness,17050.2,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t19,19,production,enemigo,nosaple,anger,21783.8,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_6,exp1_t20,20,production,lotería,bientido,happiness,16000,21,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_7,exp1_t0,0,production,enfadado,iranchi,anger,15405.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_7,exp1_t1,1,production,hedor,frostris,disgust,22174,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_7,exp1_t2,2,production,cadáver,exquileta,sadness,34204.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_7,exp1_t3,3,production,veneno,viuardabla,fear,31320.7,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_7,exp1_t4,4,production,enemigo,nogogo,anger,98523.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_7,exp1_t5,5,production,censura,rururruur,disgust,26763,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_7,exp1_t6,6,production,lotería,felinero,happiness,12987.3,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_7,exp1_t7,7,production,intruso,noteam,fear,9096.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_7,exp1_t8,8,production,piojos,biocu,disgust,7975.5,18,female,keypress
martineztomas2026_discrete_emotionality_exp1,exp1_7,exp1_t9,9,production,basura,umimi,disgust,7775.8,18,female,keypress
