participant_id,age,gender,education,handedness,stimulus,response,rt,rt_measure
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,"1. Περισσότεροι άνθρωποι έχουν πάει στο Λονδίνο απ’ ό,τι εγώ. More people have been to London than I have.",Correct,3259,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,"2. Περισσότεροι άνθρωποι έχουν πάει στο Μιλάνο απ’ ό,τι εσύ. More people have been to Milan than you have.",Correct,2104,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,"3. Περισσότερα αγόρια έχουν πάει στο Παρίσι απ’ ό,τι αυτός. More boys have been to Paris than he has.",Neither,7985,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,"4. Περισσότερα κορίτσια έχουν πάει στη Στοκχόλμη απ’ ό,τι αυτός. More girls have been to Stockholm than he has.",Correct,2637,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,"5. Λιγότεροι άνθρωποι έχουν πάει στο Βερολίνο απ’ ό,τι εγώ. Fewer people have been to Berlin than I have.",Neither,5163,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,"6. Περισσότερα παιδιά έχουν τελειώσει το λύκειο απ’ ό,τι εγώ. More kids have finished high school than I have.",Correct,4272,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,"7. Περισσότερα παιδιά έχουν τελειώσει το σχολείο απ’ ό,τι εσύ. More kids have finished school than you have.",Neither,3312,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,"8. Περισσότεροι άντρες έχουν τελειώσει το σχολείο απ’ ό,τι αυτός. More men have finished school than he has.",Correct,1639,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,"9. Περισσότεροι άντρες έχουν τελειώσει το λύκειο απ’ ό,τι αυτή. More men have finished high school than she has.",Neither,4030,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,"10. Λιγότεροι άνθρωποι έχουν τελειώσει το λύκειο απ’ ό,τι εγώ. Fewer people have finished high school than I have.",Wrong,6705,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,"11. Περισσότερες φορές πήγα στην Αγγλία απ’ ό,τι στη Γερμανία. More times I visited England than Germany.",Correct,2556,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,"12. Περισσότερες φορές τρώω στο γραφείο μου απ’ ό,τι στο σπίτι μου. More times I eat at my office than at my house.",Correct,2843,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,"13. Περισσότερες φορές πηγαίνω στο σινεμά απ’ ό,τι στο θέατρο. More times Ι go to the cinema than to the theater.",Correct,3309,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,"14. Περισσότερες φορές πηγαίνουμε στη θάλασσα απ’ό,τι στο βουνό. More times we go to the sea than to the mountain.",Correct,2919,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,"15. Περισσότερες φορές μαγειρεύω μόνη μου απ’ ό,τι με τους φίλους.",Wrong,5829,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,16. Το κλειδί εκείνων των συρταριών βρίσκονται στο μαρμάρινο τραπέζι. The key to these cabinets are on the marble table.,Wrong,3986,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,17. Η κόρη των δασκάλων της Μαρίνας στέκονται στην αυλή του σχολείου. The daughter of Marina’s teachers are standing in the school yard.,Wrong,9417,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,18. To σκυλάκι των παιδιών των γειτόνων μας παίζουν ήσυχα στον κήπο τους. The doggie of our neighbours’ kids are playing quietly in the garden.,Wrong,8874,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,19. Η φλόγα των κεριών στα τραπεζάκια του μπαρ τρεμόπαιζαν στο σκοτάδι. The flame of the candles on the tables of the bar were flickering in the darkness.,Wrong,4123,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,20. Ο θόρυβος από τα τραγούδια των μαθητών μας δεν σταματούν ποτέ. The noise from the songs of our students never end.,Wrong,3199,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,21. Τα βιβλία της κόρης του Κωνσταντίνου βρίσκεται στη βιβλιοθήκη. The books of Konstantinos’ daughter is at the library.,Wrong,6299,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,22. H βαλίτσα των διάσημων τραγουδιστών ξεχάστηκαν μέσα στο ταξί. The suitcase of the famous singers were forgotten in the taxi.,Wrong,2837,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,23. Η θήκη εκείνων των φακών επαφής βρίσκονται στο πάνω συρτάρι. The case of these contact lenses are on the top shelf.,Wrong,3905,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,24. Οι ηθοποιοί που ο σκηνοθέτης οδηγεί τους ακούει σιωπηλά. The actors that the director guides listens to them silently.,Wrong,3400,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,25. Οι ποδηλάτες που ο οδηγός βλέπει κάθε Δευτέρα τους χαιρετά. The bicyclists that the driver sees every Monday salutes them.,Wrong,7950,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,26. Οι μαθητές που ο δάσκαλος απέβαλλε τους έκανε παράπονο. The students that the teacher expelled complained to them.,Wrong,4436,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,27. Οι ασθενείς που ο γιατρός κούραρε τους ευχαρίστησε πολύ θερμά. The patients that the doctor cured thanked them profoundly.,Wrong,3741,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,28. Οι μουσικοί που ο μαέστρος διευθύνει τους ακούει προσεκτικά. The musicians that the maestro conducts listens to them carefully.,Wrong,1820,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,29. Οι κολυμβητές που ο προπονητής ανέλαβε πάντα τους ακούει. The swimmers that the trainer took on always listen to them.,Wrong,3308,keypress
b8213b12349fcd2ba470b1d14b6d8c67,31,Male,Tertiary,R,30. Οι γραμματείς που ο διευθυντής προσέλαβε τους απογοήτευσε. The secretaries that the director hired disappointed them.,Wrong,6297,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,"1. Περισσότεροι άνθρωποι έχουν πάει στο Λονδίνο απ’ ό,τι εγώ. More people have been to London than I have.",Wrong,4654,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,"2. Περισσότεροι άνθρωποι έχουν πάει στο Μιλάνο απ’ ό,τι εσύ. More people have been to Milan than you have.",Wrong,2434,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,"3. Περισσότερα αγόρια έχουν πάει στο Παρίσι απ’ ό,τι αυτός. More boys have been to Paris than he has.",Wrong,2042,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,"4. Περισσότερα κορίτσια έχουν πάει στη Στοκχόλμη απ’ ό,τι αυτός. More girls have been to Stockholm than he has.",Wrong,2607,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,"5. Λιγότεροι άνθρωποι έχουν πάει στο Βερολίνο απ’ ό,τι εγώ. Fewer people have been to Berlin than I have.",Wrong,9089,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,"6. Περισσότερα παιδιά έχουν τελειώσει το λύκειο απ’ ό,τι εγώ. More kids have finished high school than I have.",Correct,2937,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,"7. Περισσότερα παιδιά έχουν τελειώσει το σχολείο απ’ ό,τι εσύ. More kids have finished school than you have.",Wrong,3393,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,"8. Περισσότεροι άντρες έχουν τελειώσει το σχολείο απ’ ό,τι αυτός. More men have finished school than he has.",Wrong,4718,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,"9. Περισσότεροι άντρες έχουν τελειώσει το λύκειο απ’ ό,τι αυτή. More men have finished high school than she has.",Wrong,425,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,"10. Λιγότεροι άνθρωποι έχουν τελειώσει το λύκειο απ’ ό,τι εγώ. Fewer people have finished high school than I have.",Wrong,10261,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,"11. Περισσότερες φορές πήγα στην Αγγλία απ’ ό,τι στη Γερμανία. More times I visited England than Germany.",Correct,2648,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,"12. Περισσότερες φορές τρώω στο γραφείο μου απ’ ό,τι στο σπίτι μου. More times I eat at my office than at my house.",Correct,3880,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,"13. Περισσότερες φορές πηγαίνω στο σινεμά απ’ ό,τι στο θέατρο. More times Ι go to the cinema than to the theater.",Correct,3453,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,"14. Περισσότερες φορές πηγαίνουμε στη θάλασσα απ’ό,τι στο βουνό. More times we go to the sea than to the mountain.",Correct,5217,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,"15. Περισσότερες φορές μαγειρεύω μόνη μου απ’ ό,τι με τους φίλους.",Neither,5098,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,16. Το κλειδί εκείνων των συρταριών βρίσκονται στο μαρμάρινο τραπέζι. The key to these cabinets are on the marble table.,Wrong,4240,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,17. Η κόρη των δασκάλων της Μαρίνας στέκονται στην αυλή του σχολείου. The daughter of Marina’s teachers are standing in the school yard.,Neither,7354,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,18. To σκυλάκι των παιδιών των γειτόνων μας παίζουν ήσυχα στον κήπο τους. The doggie of our neighbours’ kids are playing quietly in the garden.,Wrong,2909,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,19. Η φλόγα των κεριών στα τραπεζάκια του μπαρ τρεμόπαιζαν στο σκοτάδι. The flame of the candles on the tables of the bar were flickering in the darkness.,Wrong,2800,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,20. Ο θόρυβος από τα τραγούδια των μαθητών μας δεν σταματούν ποτέ. The noise from the songs of our students never end.,Wrong,2302,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,21. Τα βιβλία της κόρης του Κωνσταντίνου βρίσκεται στη βιβλιοθήκη. The books of Konstantinos’ daughter is at the library.,Correct,6115,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,22. H βαλίτσα των διάσημων τραγουδιστών ξεχάστηκαν μέσα στο ταξί. The suitcase of the famous singers were forgotten in the taxi.,Wrong,4190,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,23. Η θήκη εκείνων των φακών επαφής βρίσκονται στο πάνω συρτάρι. The case of these contact lenses are on the top shelf.,Wrong,4182,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,24. Οι ηθοποιοί που ο σκηνοθέτης οδηγεί τους ακούει σιωπηλά. The actors that the director guides listens to them silently.,Wrong,3437,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,25. Οι ποδηλάτες που ο οδηγός βλέπει κάθε Δευτέρα τους χαιρετά. The bicyclists that the driver sees every Monday salutes them.,Wrong,3510,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,26. Οι μαθητές που ο δάσκαλος απέβαλλε τους έκανε παράπονο. The students that the teacher expelled complained to them.,Wrong,2190,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,27. Οι ασθενείς που ο γιατρός κούραρε τους ευχαρίστησε πολύ θερμά. The patients that the doctor cured thanked them profoundly.,Wrong,3351,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,28. Οι μουσικοί που ο μαέστρος διευθύνει τους ακούει προσεκτικά. The musicians that the maestro conducts listens to them carefully.,Wrong,2974,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,29. Οι κολυμβητές που ο προπονητής ανέλαβε πάντα τους ακούει. The swimmers that the trainer took on always listen to them.,Wrong,1839,keypress
f25d6883a369c1da2edb48d80c61a7d4,30,Male,Tertiary,R,30. Οι γραμματείς που ο διευθυντής προσέλαβε τους απογοήτευσε. The secretaries that the director hired disappointed them.,Wrong,2738,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,"1. Περισσότεροι άνθρωποι έχουν πάει στο Λονδίνο απ’ ό,τι εγώ. More people have been to London than I have.",Correct,2244,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,"2. Περισσότεροι άνθρωποι έχουν πάει στο Μιλάνο απ’ ό,τι εσύ. More people have been to Milan than you have.",Correct,3283,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,"3. Περισσότερα αγόρια έχουν πάει στο Παρίσι απ’ ό,τι αυτός. More boys have been to Paris than he has.",Correct,3198,keypress
88f1984e454df103c8fb72784f87d4aa,25,Female,Tertiary,R,"4. Περισσότερα κορίτσια έχουν πάει στη Στοκχόλμη απ’ ό,τι αυτός. More girls have been to Stockholm than he has.",Correct,7237,keypress
