participant_id;stimulus;response;accuracy;rt;trial_order;age
28;verdiere;2;1;662;163;25
28;biancoso;2;1;565;164;25
28;bluiere;2;1;452;165;25
28;roseria;2;1;716;166;25
28;riconoscimento;1;1;645;167;25
28;investigatore;1;1;636;168;25
28;cambiamento;1;1;821;169;25
28;arancionezione;2;1;565;170;25
28;arancionezza;2;1;772;171;25
28;arancionismo;2;1;565;172;25
28;rosamento;2;1;661;173;25
28;blutore;2;1;885;174;25
28;togliere;1;1;677;175;25
28;scienza;1;1;557;176;25
28;arancionemento;2;1;566;177;25
28;responsabile;1;1;661;178;25
28;verdemento;2;1;500;179;25
28;verdenza;2;1;525;180;25
28;blueria;2;1;462;181;25
28;attenzione;1;1;604;182;25
28;miseria;1;1;710;183;25
28;bianchenza;2;1;630;184;25
28;verdabile;2;1;574;185;25
28;dentista;1;1;516;186;25
28;blumento;2;1;742;187;25
28;rosabile;2;1;677;188;25
28;biancabile;2;1;446;189;25
29;roseria;1;0;1352;1;29
29;rosatore;2;1;974;2;29
29;arancioneria;1;0;941;3;29
29;arancionoso;2;1;969;4;29
29;altezza;1;1;569;5;29
29;togliere;1;1;1152;6;29
29;verdezza;2;1;771;7;29
29;bluiere;2;1;801;8;29
29;infermiere;1;1;699;9;29
29;blutore;2;1;743;10;29
29;biancomento;2;1;1292;11;29
29;rosiere;1;0;1074;12;29
29;imperatore;1;1;663;13;29
29;arancionabile;2;1;963;14;29
29;biancoso;2;1;1232;15;29
29;bianchenza;1;0;802;16;29
29;giallismo;1;0;1156;17;29
29;verdabile;2;1;902;18;29
29;rosismo;2;1;949;19;29
29;verdetore;2;1;1073;20;29
29;arancionezza;2;1;880;21;29
29;tradimento;1;1;655;22;29
29;operazione;1;1;805;23;29
29;blumento;2;1;792;24;29
29;bluzione;2;1;704;25;29
29;intervista;1;1;744;26;29
29;arancionismo;2;1;1506;27;29
29;schifoso;1;1;609;28;29
29;rosismo;1;0;1417;29;29
29;famoso;1;1;656;30;29
29;bluezza;2;1;612;31;29
29;rosista;2;1;1259;32;29
29;bluista;2;1;644;33;29
29;preoccupazione;1;1;831;34;29
29;senatore;1;1;654;35;29
29;giallotore;2;1;1097;36;29
29;organismo;1;1;682;37;29
29;cambiamento;1;1;675;38;29
29;pericoloso;1;1;606;39;29
29;verdemento;2;1;868;40;29
29;roseria;1;0;834;41;29
29;blueria;2;1;718;42;29
29;investigatore;1;1;576;43;29
29;giallenza;2;1;1045;44;29
29;rosatore;2;1;979;45;29
29;scienza;1;1;645;46;29
