participant_id,age,gender,education,handedness,session_id,trial_id,condition,stimulus_type,stimulus,stimulus_translation,accuracy,rt,rt_measure
1,22,male,16,right,1,ldt_1_1_0060,lexical_decision,pseudoword,COSCIRE,,1,664,keypress
1,22,male,16,right,1,ldt_1_1_0061,lexical_decision,word,DITO,finger,1,701,keypress
1,22,male,16,right,1,ldt_1_1_0062,lexical_decision,pseudoword,MUI,,1,586,keypress
1,22,male,16,right,1,ldt_1_1_0063,lexical_decision,pseudoword,SERGE,,1,796,keypress
1,22,male,16,right,1,ldt_1_1_0064,lexical_decision,pseudoword,TOBBIRETE,,1,768,keypress
1,22,male,16,right,1,ldt_1_1_0065,lexical_decision,word,SODDISFATTO,satisfied,1,550,keypress
1,22,male,16,right,1,ldt_1_1_0066,lexical_decision,pseudoword,CUPATO,,1,595,keypress
1,22,male,16,right,1,ldt_1_1_0067,lexical_decision,pseudoword,STINUI,,1,706,keypress
1,22,male,16,right,1,ldt_1_1_0068,lexical_decision,word,BARA,coffin,1,760,keypress
1,22,male,16,right,1,ldt_1_1_0069,lexical_decision,word,SPOSA,bride,1,541,keypress
1,22,male,16,right,1,ldt_1_1_0070,lexical_decision,pseudoword,FIANVANERTA,,1,863,keypress
1,22,male,16,right,1,ldt_1_1_0071,lexical_decision,word,GUSTO,taste,1,600,keypress
1,22,male,16,right,1,ldt_1_1_0072,lexical_decision,pseudoword,SMEU,,1,500,keypress
1,22,male,16,right,1,ldt_1_1_0073,lexical_decision,word,INDIGNAZIONE,outrage,1,558,keypress
1,22,male,16,right,1,ldt_1_1_0074,lexical_decision,pseudoword,ROSERE,,1,559,keypress
1,22,male,16,right,1,ldt_1_1_0075,lexical_decision,pseudoword,MOLATICCIO,,1,649,keypress
1,22,male,16,right,1,ldt_1_1_0076,lexical_decision,pseudoword,DROSSI,,1,600,keypress
1,22,male,16,right,1,ldt_1_1_0077,lexical_decision,word,ORGOGLIOSO,proud,1,553,keypress
1,22,male,16,right,1,ldt_1_1_0078,lexical_decision,word,FEMMINUCCIA,sissy,1,586,keypress
1,22,male,16,right,1,ldt_1_1_0079,lexical_decision,word,ESTERNO,outdoors,1,506,keypress
1,22,male,16,right,1,ldt_1_1_0080,lexical_decision,pseudoword,SCULA,,1,638,keypress
1,22,male,16,right,1,ldt_1_1_0081,lexical_decision,pseudoword,INGECCENTE,,1,917,keypress
1,22,male,16,right,1,ldt_1_1_0082,lexical_decision,pseudoword,ELOLLERO,,1,587,keypress
1,22,male,16,right,1,ldt_1_1_0083,lexical_decision,word,RISPETTO,respect,1,933,keypress
1,22,male,16,right,1,ldt_1_1_0084,lexical_decision,word,LEADER,leader,1,1215,keypress
1,22,male,16,right,1,ldt_1_1_0085,lexical_decision,word,LEALE,loyal,1,655,keypress
1,22,male,16,right,1,ldt_1_1_0086,lexical_decision,word,MIGLIORARE,improve,1,600,keypress
1,22,male,16,right,1,ldt_1_1_0087,lexical_decision,pseudoword,BESOIO,,1,641,keypress
1,22,male,16,right,1,ldt_1_1_0088,lexical_decision,pseudoword,DASTOLLO,,1,662,keypress
1,22,male,16,right,1,ldt_1_1_0089,lexical_decision,pseudoword,TASENTA,,1,874,keypress
1,22,male,16,right,1,ldt_1_1_0090,lexical_decision,word,VANTAGGIO,advantage,1,901,keypress
1,22,male,16,right,1,ldt_1_1_0091,lexical_decision,pseudoword,TISUTTE,,1,576,keypress
1,22,male,16,right,1,ldt_1_1_0092,lexical_decision,pseudoword,SESSENO,,1,632,keypress
1,22,male,16,right,1,ldt_1_1_0093,lexical_decision,pseudoword,IGANCANDO,,1,774,keypress
1,22,male,16,right,1,ldt_1_1_0094,lexical_decision,word,OCEANO,ocean,1,590,keypress
1,22,male,16,right,1,ldt_1_1_0095,lexical_decision,pseudoword,FIANI,,1,641,keypress
1,22,male,16,right,1,ldt_1_1_0096,lexical_decision,word,SCIARPA,scarf,0,764,keypress
1,22,male,16,right,1,ldt_1_1_0097,lexical_decision,word,ASSURDO,absurd,1,629,keypress
1,22,male,16,right,1,ldt_1_1_0098,lexical_decision,word,INVESTIRE,invest,1,539,keypress
1,22,male,16,right,1,ldt_1_1_0099,lexical_decision,word,PREOCCUPATO,troubled,1,573,keypress
1,22,male,16,right,1,ldt_1_1_0100,lexical_decision,word,AFFOGARE,drown,1,702,keypress
1,22,male,16,right,1,ldt_1_1_0101,lexical_decision,word,ONESTO,honest,1,1147,keypress
1,22,male,16,right,1,ldt_1_1_0102,lexical_decision,pseudoword,PROPRIECCORO,,1,736,keypress
1,22,male,16,right,1,ldt_1_1_0103,lexical_decision,word,DISDEGNO,scorn,1,1025,keypress
1,22,male,16,right,1,ldt_1_1_0104,lexical_decision,pseudoword,MOPPO,,1,497,keypress
1,22,male,16,right,1,ldt_1_1_0105,lexical_decision,pseudoword,RIAVRELLI,,1,550,keypress
1,22,male,16,right,1,ldt_1_1_0106,lexical_decision,word,PROGRESSO,progress,1,671,keypress
1,22,male,16,right,1,ldt_1_1_0107,lexical_decision,word,STUFA,stove,1,582,keypress
1,22,male,16,right,1,ldt_1_1_0108,lexical_decision,pseudoword,RISSEZZIAMO,,1,612,keypress
1,22,male,16,right,1,ldt_1_1_0109,lexical_decision,pseudoword,VAFOINA,,1,582,keypress
1,22,male,16,right,1,ldt_1_1_0110,lexical_decision,word,MILIONARIO,millionaire,1,587,keypress
1,22,male,16,right,1,ldt_1_1_0111,lexical_decision,pseudoword,INTENSUNFEVA,,1,566,keypress
1,22,male,16,right,1,ldt_1_1_0112,lexical_decision,word,DANNO,damage,1,1429,keypress
1,22,male,16,right,1,ldt_1_1_0113,lexical_decision,pseudoword,CONCANE,,1,1075,keypress
1,22,male,16,right,1,ldt_1_1_0114,lexical_decision,word,SUGHERO,cork,1,659,keypress
1,22,male,16,right,1,ldt_1_1_0115,lexical_decision,pseudoword,INDERRO,,1,630,keypress
1,22,male,16,right,1,ldt_1_1_0116,lexical_decision,pseudoword,FIMPIBILE,,1,674,keypress
1,22,male,16,right,1,ldt_1_1_0117,lexical_decision,pseudoword,DALIGOLALE,,1,893,keypress
1,22,male,16,right,1,ldt_1_1_0118,lexical_decision,word,MATITA,pencil,1,558,keypress
1,22,male,16,right,1,ldt_1_1_0119,lexical_decision,pseudoword,RIMORTA,,1,836,keypress
1,22,male,16,right,1,ldt_1_1_0120,lexical_decision,word,CRUDELE,cruel,1,615,keypress
1,22,male,16,right,1,ldt_1_1_0121,lexical_decision,word,FAMOSO,famous,1,460,keypress
1,22,male,16,right,1,ldt_1_1_0122,lexical_decision,word,DENARO,money,1,588,keypress
1,22,male,16,right,1,ldt_1_1_0123,lexical_decision,word,DISINVOLTO,nonchalant,1,596,keypress
1,22,male,16,right,1,ldt_1_1_0124,lexical_decision,pseudoword,RIMMUNFATO,,1,782,keypress
1,22,male,16,right,1,ldt_1_1_0125,lexical_decision,pseudoword,LIGLI,,1,530,keypress
1,22,male,16,right,1,ldt_1_1_0126,lexical_decision,word,RADIATORE,radiator,1,712,keypress
1,22,male,16,right,1,ldt_1_1_0127,lexical_decision,pseudoword,MARTOSE,,1,680,keypress
1,22,male,16,right,1,ldt_1_1_0128,lexical_decision,word,PRESSIONE,pressure,1,711,keypress
1,22,male,16,right,1,ldt_1_1_0129,lexical_decision,pseudoword,BUTIMENTE,,1,723,keypress
1,22,male,16,right,1,ldt_1_1_0130,lexical_decision,pseudoword,BEFIERNE,,1,632,keypress
1,22,male,16,right,1,ldt_1_1_0131,lexical_decision,word,FISCHIO,whistle,1,666,keypress
1,22,male,16,right,1,ldt_1_1_0132,lexical_decision,word,STUPIDO,stupid,1,750,keypress
1,22,male,16,right,1,ldt_1_1_0133,lexical_decision,word,MOBILE,cabinet,1,540,keypress
1,22,male,16,right,1,ldt_1_1_0134,lexical_decision,pseudoword,REDRA,,1,524,keypress
1,22,male,16,right,1,ldt_1_1_0135,lexical_decision,word,MUSEO,museum,1,630,keypress
1,22,male,16,right,1,ldt_1_1_0136,lexical_decision,word,ROCCIA,rock,1,546,keypress
1,22,male,16,right,1,ldt_1_1_0137,lexical_decision,word,NASCONDERE,hide,1,793,keypress
1,22,male,16,right,1,ldt_1_1_0138,lexical_decision,word,PARADISO,paradise,1,881,keypress
1,22,male,16,right,1,ldt_1_1_0139,lexical_decision,word,BAMBOLA,doll,1,474,keypress
1,22,male,16,right,1,ldt_1_1_0140,lexical_decision,word,HUMOR,humor,1,529,keypress
1,22,male,16,right,1,ldt_1_1_0141,lexical_decision,word,EROINA,heroin,1,477,keypress
1,22,male,16,right,1,ldt_1_1_0142,lexical_decision,pseudoword,BERRE,,1,1443,keypress
1,22,male,16,right,1,ldt_1_1_0143,lexical_decision,word,TABACCO,tobacco,1,522,keypress
1,22,male,16,right,1,ldt_1_1_0144,lexical_decision,pseudoword,FACASCE,,1,757,keypress
1,22,male,16,right,1,ldt_1_1_0145,lexical_decision,word,YACHT,yacht,1,714,keypress
1,22,male,16,right,1,ldt_1_1_0146,lexical_decision,word,SILENZIOSO,quiet,1,579,keypress
1,22,male,16,right,1,ldt_1_1_0147,lexical_decision,pseudoword,INTARFATO,,1,676,keypress
1,22,male,16,right,1,ldt_1_1_0148,lexical_decision,pseudoword,TAVASA,,1,1085,keypress
1,22,male,16,right,1,ldt_1_1_0149,lexical_decision,pseudoword,ATLANTIMI,,1,609,keypress
1,22,male,16,right,1,ldt_1_1_0150,lexical_decision,pseudoword,DILIRRO,,1,700,keypress
1,22,male,16,right,1,ldt_1_1_0151,lexical_decision,word,SCIMMIA,monkey,1,617,keypress
1,22,male,16,right,1,ldt_1_1_0152,lexical_decision,word,PUZZA,stink,1,668,keypress
1,22,male,16,right,1,ldt_1_1_0153,lexical_decision,word,FERRO,iron,1,449,keypress
1,22,male,16,right,1,ldt_1_1_0154,lexical_decision,pseudoword,FAVISI,,1,483,keypress
1,22,male,16,right,1,ldt_1_1_0155,lexical_decision,pseudoword,FAENGLA,,1,613,keypress
1,22,male,16,right,1,ldt_1_1_0156,lexical_decision,word,VERDE,green,1,695,keypress
1,22,male,16,right,1,ldt_1_1_0157,lexical_decision,pseudoword,POLTUSTO,,1,648,keypress
1,22,male,16,right,1,ldt_1_1_0158,lexical_decision,pseudoword,SOTTOBALLI,,1,849,keypress
1,22,male,16,right,1,ldt_1_1_0159,lexical_decision,pseudoword,VUSMI,,1,573,keypress
1,22,male,16,right,1,ldt_1_1_0160,lexical_decision,pseudoword,MEITO,,1,1264,keypress
1,22,male,16,right,1,ldt_1_1_0161,lexical_decision,pseudoword,SDENTIANDO,,1,794,keypress
1,22,male,16,right,1,ldt_1_1_0162,lexical_decision,pseudoword,ASSUBIMI,,1,579,keypress
1,22,male,16,right,1,ldt_1_1_0163,lexical_decision,word,FREEZER,icebox,1,724,keypress
1,22,male,16,right,1,ldt_1_1_0164,lexical_decision,pseudoword,PARNANA,,1,636,keypress
1,22,male,16,right,1,ldt_1_1_0165,lexical_decision,word,DETESTARE,detest,1,918,keypress
1,22,male,16,right,1,ldt_1_1_0166,lexical_decision,word,PETTEGOLEZZO,gossip,1,910,keypress
1,22,male,16,right,1,ldt_1_1_0167,lexical_decision,word,PUS,pus,1,962,keypress
1,22,male,16,right,1,ldt_1_1_0168,lexical_decision,pseudoword,DISSENE,,1,845,keypress
1,22,male,16,right,1,ldt_1_1_0169,lexical_decision,word,POVERTÀ,poverty,1,787,keypress
1,22,male,16,right,1,ldt_1_1_0170,lexical_decision,word,PUTTANA,hooker,1,661,keypress
1,22,male,16,right,1,ldt_1_1_0171,lexical_decision,word,GELATINA,jelly,1,655,keypress
1,22,male,16,right,1,ldt_1_1_0172,lexical_decision,pseudoword,MACADATI,,1,797,keypress
1,22,male,16,right,1,ldt_1_1_0173,lexical_decision,word,GUARIRE,heal,1,643,keypress
1,22,male,16,right,1,ldt_1_1_0174,lexical_decision,pseudoword,MUO,,1,973,keypress
1,22,male,16,right,1,ldt_1_1_0175,lexical_decision,word,STATUA,statue,1,755,keypress
1,22,male,16,right,1,ldt_1_1_0176,lexical_decision,pseudoword,VIMPIMENTI,,1,640,keypress
1,22,male,16,right,1,ldt_1_1_0177,lexical_decision,word,CASA,home,1,651,keypress
1,22,male,16,right,1,ldt_1_1_0178,lexical_decision,word,CHIAVE,key,1,672,keypress
1,22,male,16,right,1,ldt_1_1_0179,lexical_decision,word,TAVOLO,table,1,596,keypress
1,22,male,16,right,1,ldt_1_1_0180,lexical_decision,word,EMICRANIA,headache,1,722,keypress
1,22,male,16,right,1,ldt_1_1_0181,lexical_decision,pseudoword,PESTESMO,,1,815,keypress
1,22,male,16,right,1,ldt_1_1_0182,lexical_decision,word,INFERNO,hell,1,619,keypress
1,22,male,16,right,1,ldt_1_1_0183,lexical_decision,pseudoword,STU,,1,684,keypress
1,22,male,16,right,1,ldt_1_1_0184,lexical_decision,pseudoword,SUBAPPOSTA,,1,720,keypress
1,22,male,16,right,1,ldt_1_1_0185,lexical_decision,word,INDIFESO,helpless,1,685,keypress
1,22,male,16,right,1,ldt_1_1_0186,lexical_decision,pseudoword,VARRENTI,,1,542,keypress
1,22,male,16,right,1,ldt_1_1_0187,lexical_decision,word,PECCATO,sin,1,574,keypress
1,22,male,16,right,1,ldt_1_1_0188,lexical_decision,pseudoword,RINSA,,1,840,keypress
1,22,male,16,right,1,ldt_1_1_0189,lexical_decision,pseudoword,MICADANI,,1,708,keypress
1,22,male,16,right,1,ldt_1_1_0190,lexical_decision,word,VETRO,glass,1,530,keypress
1,22,male,16,right,1,ldt_1_1_0191,lexical_decision,word,AFFASCINARE,fascinate,1,719,keypress
1,22,male,16,right,1,ldt_1_1_0192,lexical_decision,pseudoword,SCENNA,,1,936,keypress
