participant_id,age,gender,education,handedness,session_id,trial_id,condition,stimulus,stimulus_translation,accuracy,rt,rt_measure
11,26,female,16,right,1,naming_11_1_0324,word_naming,PELLICCIA,fur,1,502,voice_onset
11,26,female,16,right,1,naming_11_1_0325,word_naming,PRETE,priest,1,472,voice_onset
11,26,female,16,right,1,naming_11_1_0326,word_naming,ANGOLO,corner,1,462,voice_onset
11,26,female,16,right,1,naming_11_1_0327,word_naming,RIVOLTELLA,gun,1,552,voice_onset
11,26,female,16,right,1,naming_11_1_0328,word_naming,NASCONDERE,hide,1,539,voice_onset
11,26,female,16,right,1,naming_11_1_0329,word_naming,BEBÈ,baby,1,580,voice_onset
11,26,female,16,right,1,naming_11_1_0330,word_naming,SETA,silk,1,459,voice_onset
11,26,female,16,right,1,naming_11_1_0331,word_naming,CORTESE,kind,1,531,voice_onset
11,26,female,16,right,1,naming_11_1_0332,word_naming,SCANDALO,scandal,1,601,voice_onset
11,26,female,16,right,1,naming_11_1_0333,word_naming,DIAVOLO,devil,1,490,voice_onset
11,26,female,16,right,1,naming_11_1_0334,word_naming,TEMPERINO,pencil_sharpener,1,556,voice_onset
11,26,female,16,right,1,naming_11_1_0335,word_naming,SCHIVO,shy,1,493,voice_onset
11,26,female,16,right,1,naming_11_1_0336,word_naming,CILIEGIO,cherry_tree,1,487,voice_onset
11,26,female,16,right,1,naming_11_1_0337,word_naming,ASSEDIATO,embattled,1,485,voice_onset
11,26,female,16,right,1,naming_11_1_0338,word_naming,RADIOSO,radiant,1,505,voice_onset
11,26,female,16,right,1,naming_11_1_0339,word_naming,CIELO,heaven,1,444,voice_onset
11,26,female,16,right,1,naming_11_1_0340,word_naming,DEVOTO,devoted,1,0,voice_onset
11,26,female,16,right,1,naming_11_1_0341,word_naming,RIVISTA,journal,1,704,voice_onset
11,26,female,16,right,1,naming_11_1_0342,word_naming,SEXY,sexy,1,542,voice_onset
11,26,female,16,right,1,naming_11_1_0343,word_naming,INSICURO,insecure,1,584,voice_onset
11,26,female,16,right,1,naming_11_1_0344,word_naming,CARCASSA,carcass,1,510,voice_onset
11,26,female,16,right,1,naming_11_1_0345,word_naming,ESECUZIONE,execution,1,503,voice_onset
11,26,female,16,right,1,naming_11_1_0346,word_naming,TETRO,dreary,1,0,voice_onset
11,26,female,16,right,1,naming_11_1_0347,word_naming,FASTIDIO,nuisance,1,496,voice_onset
11,26,female,16,right,1,naming_11_1_0348,word_naming,BACIO,kiss,1,468,voice_onset
11,26,female,16,right,1,naming_11_1_0349,word_naming,BOUQUET,bouquet,1,647,voice_onset
11,26,female,16,right,1,naming_11_1_0350,word_naming,MOBILE,cabinet,1,502,voice_onset
11,26,female,16,right,1,naming_11_1_0351,word_naming,GONNA,skirt,1,482,voice_onset
11,26,female,16,right,1,naming_11_1_0352,word_naming,STELLA,star,1,456,voice_onset
11,26,female,16,right,1,naming_11_1_0353,word_naming,MESTOLO,ladle,1,543,voice_onset
11,26,female,16,right,1,naming_11_1_0354,word_naming,FACILE,easy,1,481,voice_onset
11,26,female,16,right,1,naming_11_1_0355,word_naming,MAGICO,magical,1,501,voice_onset
11,26,female,16,right,1,naming_11_1_0356,word_naming,NUOTATORE,swimmer,1,973,voice_onset
11,26,female,16,right,1,naming_11_1_0357,word_naming,DANNEGGIARE,impair,1,497,voice_onset
11,26,female,16,right,1,naming_11_1_0358,word_naming,FINESTRA,window,1,669,voice_onset
11,26,female,16,right,1,naming_11_1_0359,word_naming,UCCELLO,bird,1,562,voice_onset
11,26,female,16,right,1,naming_11_1_0360,word_naming,URAGANO,hurricane,1,495,voice_onset
11,26,female,16,right,1,naming_11_1_0361,word_naming,TOMBA,tomb,1,459,voice_onset
11,26,female,16,right,1,naming_11_1_0362,word_naming,NETTARE,nectar,1,1176,voice_onset
11,26,female,16,right,1,naming_11_1_0363,word_naming,DORMIRE,sleep,1,535,voice_onset
11,26,female,16,right,1,naming_11_1_0364,word_naming,SOLITUDINE,loneliness,1,480,voice_onset
11,26,female,16,right,1,naming_11_1_0365,word_naming,CAOS,chaos,1,499,voice_onset
11,26,female,16,right,1,naming_11_1_0366,word_naming,COPPIA,couple,1,508,voice_onset
11,26,female,16,right,1,naming_11_1_0367,word_naming,TRADITORE,traitor,1,520,voice_onset
11,26,female,16,right,1,naming_11_1_0368,word_naming,TOPO,mouse,1,0,voice_onset
11,26,female,16,right,1,naming_11_1_0369,word_naming,DOLORE,ache,1,502,voice_onset
11,26,female,16,right,1,naming_11_1_0370,word_naming,SGRADEVOLE,nasty,1,624,voice_onset
11,26,female,16,right,1,naming_11_1_0371,word_naming,RESPINTO,rejected,1,599,voice_onset
11,26,female,16,right,1,naming_11_1_0372,word_naming,ODIO,hate,1,502,voice_onset
